words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry,Lucas Tolentino Coelho de Lima-Łukasz Fabiański-Łukasz Fabiański,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pass-Ball Receipt,Łukasz Fabiański-Tomáš Souček,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pass-Ball Receipt,Emerson Palmieri dos Santos-Edson Omar Álvarez Velázquez,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pass-Ball Receipt,Edson Omar Álvarez Velázquez-Niclas Füllkrug,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pressure-Foul Committed,Niclas Füllkrug-Niclas Füllkrug,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pressure,Lucas Tolentino Coelho de Lima,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pressure,Mohammed Kudus,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Clearance,Maximilian William Kilman,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pressure,Niclas Füllkrug,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pass-Ball Receipt,Maximilian William Kilman-Tomáš Souček,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pass,Tomáš Souček,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Ball Receipt-Carry-Pass-Ball Receipt,Mohammed Kudus-Mohammed Kudus-Mohammed Kudus-Niclas Füllkrug,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Block,Aaron Wan-Bissaka,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pressure,Lucas Tolentino Coelho de Lima,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Aaron Wan-Bissaka-Konstantinos Mavropanos-Konstantinos Mavropanos-Łukasz Fabiański-Łukasz Fabiański-Łukasz Fabiański-Konstantinos Mavropanos-Konstantinos Mavropanos-Konstantinos Mavropanos-Edson Omar Álvarez Velázquez-Edson Omar Álvarez Velázquez-Edson Omar Álvarez Velázquez-Maximilian William Kilman-Maximilian William Kilman,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Maximilian William Kilman-Łukasz Fabiański-Łukasz Fabiański-Łukasz Fabiański-Konstantinos Mavropanos-Konstantinos Mavropanos,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pass-Ball Receipt,Konstantinos Mavropanos-Jarrod Bowen,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pressure,Niclas Füllkrug,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pressure,Jarrod Bowen,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pressure,Jarrod Bowen,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pressure,Mohammed Kudus,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Emerson Palmieri dos Santos-Emerson Palmieri dos Santos-Emerson Palmieri dos Santos-Maximilian William Kilman-Maximilian William Kilman,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Maximilian William Kilman-Łukasz Fabiański-Łukasz Fabiański-Łukasz Fabiański-Maximilian William Kilman-Maximilian William Kilman-Maximilian William Kilman-Łukasz Fabiański-Łukasz Fabiański,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Łukasz Fabiański-Lucas Tolentino Coelho de Lima-Lucas Tolentino Coelho de Lima-Lucas Tolentino Coelho de Lima-Maximilian William Kilman-Maximilian William Kilman,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pass-Ball Receipt-Carry,Maximilian William Kilman-Emerson Palmieri dos Santos-Emerson Palmieri dos Santos,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Emerson Palmieri dos Santos-Mohammed Kudus-Mohammed Kudus-Mohammed Kudus-Maximilian William Kilman-Maximilian William Kilman,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pass-Ball Receipt-Carry,Maximilian William Kilman-Łukasz Fabiański-Łukasz Fabiański,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pass-Ball Receipt,Łukasz Fabiański-Jarrod Bowen,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pressure,Niclas Füllkrug,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Block,Mohammed Kudus,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pressure,Niclas Füllkrug,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Łukasz Fabiański-Łukasz Fabiański-Łukasz Fabiański-Maximilian William Kilman-Maximilian William Kilman-Maximilian William Kilman-Łukasz Fabiański-Łukasz Fabiański-Łukasz Fabiański-Maximilian William Kilman-Maximilian William Kilman,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pass-Ball Receipt-Carry,Maximilian William Kilman-Łukasz Fabiański-Łukasz Fabiański,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pass-Ball Receipt,Łukasz Fabiański-Niclas Füllkrug,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pressure,Jarrod Bowen,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pressure,Aaron Wan-Bissaka,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pressure,Jarrod Bowen,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pass-Ball Receipt-Carry,Edson Omar Álvarez Velázquez-Aaron Wan-Bissaka-Aaron Wan-Bissaka,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Dribble-Carry,Aaron Wan-Bissaka-Aaron Wan-Bissaka,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pass-Ball Receipt,Aaron Wan-Bissaka-Lucas Tolentino Coelho de Lima,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Ball Recovery-Carry,Aaron Wan-Bissaka-Aaron Wan-Bissaka,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pass-Ball Receipt-Carry,Aaron Wan-Bissaka-Lucas Tolentino Coelho de Lima-Lucas Tolentino Coelho de Lima,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Lucas Tolentino Coelho de Lima-Lucas Tolentino Coelho de Lima-Edson Omar Álvarez Velázquez-Edson Omar Álvarez Velázquez-Konstantinos Mavropanos-Konstantinos Mavropanos-Konstantinos Mavropanos-Edson Omar Álvarez Velázquez-Edson Omar Álvarez Velázquez,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
Pass-Ball Receipt-Carry-Pass,Edson Omar Álvarez Velázquez-Maximilian William Kilman-Maximilian William Kilman-Maximilian William Kilman,3955800,West Ham United,Drawn,1,1,First half,1.0029766634109036,0.7936609850267623
