words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Clearance,Santiago Ignacio Bueno Sciutto,3955764,Wolverhampton Wanderers,Lost,0,4,First half,1.2122678765066113,0.7788543160394061
Pressure,Rayan Aït Nouri,3955764,Wolverhampton Wanderers,Lost,0,4,First half,1.2122678765066113,0.7788543160394061
Clearance,Craig Dawson,3955764,Wolverhampton Wanderers,Lost,0,4,First half,1.2122678765066113,0.7788543160394061
Pressure,João Victor Gomes da Silva,3955764,Wolverhampton Wanderers,Lost,0,4,First half,1.2122678765066113,0.7788543160394061
Pressure,Jørgen Strand Larsen,3955764,Wolverhampton Wanderers,Lost,0,4,First half,1.2122678765066113,0.7788543160394061
Pressure,João Victor Gomes da Silva,3955764,Wolverhampton Wanderers,Lost,0,4,First half,1.2122678765066113,0.7788543160394061
Duel-Carry-Pass-Ball Receipt,João Victor Gomes da Silva-João Victor Gomes da Silva-João Victor Gomes da Silva-Gonçalo Manuel Ganchinho Guedes,3955764,Wolverhampton Wanderers,Lost,0,4,First half,1.2122678765066113,0.7788543160394061
Pressure,Gonçalo Manuel Ganchinho Guedes,3955764,Wolverhampton Wanderers,Lost,0,4,First half,1.2122678765066113,0.7788543160394061
Pressure,Jørgen Strand Larsen,3955764,Wolverhampton Wanderers,Lost,0,4,First half,1.2122678765066113,0.7788543160394061
Pass-Ball Receipt-Pass,Santiago Ignacio Bueno Sciutto-João Victor Gomes da Silva-João Victor Gomes da Silva,3955764,Wolverhampton Wanderers,Lost,0,4,First half,1.2122678765066113,0.7788543160394061
Ball Receipt-Carry-Dribble-Carry,Jørgen Strand Larsen-Jørgen Strand Larsen-Jørgen Strand Larsen-Jørgen Strand Larsen,3955764,Wolverhampton Wanderers,Lost,0,4,First half,1.2122678765066113,0.7788543160394061
Pass-Ball Receipt-Carry,Jørgen Strand Larsen-João Victor Gomes da Silva-João Victor Gomes da Silva,3955764,Wolverhampton Wanderers,Lost,0,4,First half,1.2122678765066113,0.7788543160394061
Dribble-Carry,João Victor Gomes da Silva-João Victor Gomes da Silva,3955764,Wolverhampton Wanderers,Lost,0,4,First half,1.2122678765066113,0.7788543160394061
Pass-Ball Receipt-Carry,João Victor Gomes da Silva-André Trindade da Costa Neto-André Trindade da Costa Neto,3955764,Wolverhampton Wanderers,Lost,0,4,First half,1.2122678765066113,0.7788543160394061
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Shot,André Trindade da Costa Neto-Matheus Santos Carneiro da Cunha-Matheus Santos Carneiro da Cunha-João Victor Gomes da Silva-João Victor Gomes da Silva-João Victor Gomes da Silva-Rayan Aït Nouri-Rayan Aït Nouri-Rayan Aït Nouri-Jørgen Strand Larsen-Jørgen Strand Larsen,3955764,Wolverhampton Wanderers,Lost,0,4,First half,1.2122678765066113,0.7788543160394061
Ball Recovery-Carry,Matheus Santos Carneiro da Cunha-Matheus Santos Carneiro da Cunha,3955764,Wolverhampton Wanderers,Lost,0,4,First half,1.2122678765066113,0.7788543160394061
Foul Won-Pass,Matheus Santos Carneiro da Cunha-Rayan Aït Nouri,3955764,Wolverhampton Wanderers,Lost,0,4,First half,1.2122678765066113,0.7788543160394061
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Matheus Santos Carneiro da Cunha-Matheus Santos Carneiro da Cunha-Matheus Santos Carneiro da Cunha-Santiago Ignacio Bueno Sciutto-Santiago Ignacio Bueno Sciutto-Santiago Ignacio Bueno Sciutto-Craig Dawson-Craig Dawson-Craig Dawson-Mario Lemina-Mario Lemina,3955764,Wolverhampton Wanderers,Lost,0,4,First half,1.2122678765066113,0.7788543160394061
Pass-Ball Receipt-Carry,Mario Lemina-Matt Doherty-Matt Doherty,3955764,Wolverhampton Wanderers,Lost,0,4,First half,1.2122678765066113,0.7788543160394061
Pass-Ball Receipt-Pass-Ball Receipt,Matt Doherty-Mario Lemina-Mario Lemina-Jørgen Strand Larsen,3955764,Wolverhampton Wanderers,Lost,0,4,First half,1.2122678765066113,0.7788543160394061
