words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Ball Recovery-Carry-Dispossessed,3944962,AC Milan,Drawn,2,2,First half
Pass,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dribble-Carry,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt,3944962,AC Milan,Drawn,2,2,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Pressure-Foul Committed,3944962,AC Milan,Drawn,2,2,First half
Block,3944962,AC Milan,Drawn,2,2,First half
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3944962,AC Milan,Drawn,2,2,First half
Clearance,3944962,AC Milan,Drawn,2,2,First half
Tactical Shift,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Substitution-Substitution-Substitution,3944962,AC Milan,Drawn,2,2,First half
Shot,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3944962,AC Milan,Drawn,2,2,First half
Pass,3944962,AC Milan,Drawn,2,2,First half
Ball Receipt-Carry-Pass-Ball Receipt,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Interception-Ball Recovery-Carry-Pass-Ball Receipt-Carry,3944962,AC Milan,Drawn,2,2,First half
Goal Keeper-Injury Stoppage,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Block-Block,3944962,AC Milan,Drawn,2,2,First half
Dribbled Past,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Shield-Pass-Ball Receipt-Carry,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Interception-Pressure,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Clearance,3944962,AC Milan,Drawn,2,2,First half
Referee Ball-Drop,3944962,AC Milan,Drawn,2,2,First half
Injury Stoppage,3944962,AC Milan,Drawn,2,2,First half
Dispossessed,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt-Carry,3944962,AC Milan,Drawn,2,2,First half
Duel,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3944962,AC Milan,Drawn,2,2,First half
Pass,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt-Carry,3944962,AC Milan,Drawn,2,2,First half
Clearance,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Foul Committed,3944962,AC Milan,Drawn,2,2,First half
