words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Enzo Le Fée-Obite Evan Ndicka-Obite Evan Ndicka-Obite Evan Ndicka-Gianluca Mancini-Gianluca Mancini-Nicola Zalewski-Nicola Zalewski-Nicola Zalewski-Matías Soulé-Matías Soulé,3944964,AS Roma,Drawn,0,0,First half,1.5967968157597725,0.7538564645306426
Pressure,Artem Dovbyk,3944964,AS Roma,Drawn,0,0,First half,1.5967968157597725,0.7538564645306426
Injury Stoppage-Pass,Mile Svilar-Matías Soulé,3944964,AS Roma,Drawn,0,0,First half,1.5967968157597725,0.7538564645306426
Pressure,Gianluca Mancini,3944964,AS Roma,Drawn,0,0,First half,1.5967968157597725,0.7538564645306426
Shot,Bryan Cristante,3944964,AS Roma,Drawn,0,0,First half,1.5967968157597725,0.7538564645306426
Foul Won-Pass-Ball Receipt,Lorenzo Pellegrini-Matías Soulé-Bryan Cristante,3944964,AS Roma,Drawn,0,0,First half,1.5967968157597725,0.7538564645306426
Ball Receipt-Carry,Lorenzo Pellegrini-Lorenzo Pellegrini,3944964,AS Roma,Drawn,0,0,First half,1.5967968157597725,0.7538564645306426
Pass-Ball Receipt-Carry-Pass,Lorenzo Pellegrini-Nicola Zalewski-Nicola Zalewski-Nicola Zalewski,3944964,AS Roma,Drawn,0,0,First half,1.5967968157597725,0.7538564645306426
Pass-Ball Receipt-Carry,José Ángel Esmoris Tasende-Lorenzo Pellegrini-Lorenzo Pellegrini,3944964,AS Roma,Drawn,0,0,First half,1.5967968157597725,0.7538564645306426
Pressure,José Ángel Esmoris Tasende,3944964,AS Roma,Drawn,0,0,First half,1.5967968157597725,0.7538564645306426
Pass-Ball Receipt-Carry-Pass,Tommaso Baldanzi-José Ángel Esmoris Tasende-José Ángel Esmoris Tasende-José Ángel Esmoris Tasende,3944964,AS Roma,Drawn,0,0,First half,1.5967968157597725,0.7538564645306426
