words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Davide Zappacosta,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pressure,Marten de Roon,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pressure,Charles De Ketelaere,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Ball Receipt-Carry-Dispossessed,Mateo Retegui-Mateo Retegui-Mateo Retegui,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,Mario Pašalić-Davide Zappacosta-Davide Zappacosta-Davide Zappacosta-Charles De Ketelaere-Charles De Ketelaere,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass-Ball Receipt-Carry,Charles De Ketelaere-Mario Pašalić-Mario Pašalić,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Ball Recovery-Carry,Charles De Ketelaere-Charles De Ketelaere,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Foul Committed,Marco Brescianini,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Dispossessed,Marco Brescianini,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass-Ball Receipt-Carry,Mario Pašalić-Marco Brescianini-Marco Brescianini,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Mario Pašalić-Davide Zappacosta-Davide Zappacosta-Davide Zappacosta-Marten de Roon-Marten de Roon-Marten de Roon-Isak Hien-Isak Hien-Isak Hien-Berat Djimsiti-Berat Djimsiti-Berat Djimsiti-Mario Pašalić-Mario Pašalić,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Interception-Block-Pass-Ball Receipt-Carry,Isak Hien-Berat Djimsiti-Berat Djimsiti-Mario Pašalić-Mario Pašalić,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pressure,Marco Brescianini,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
50/50-Pass-Ball Receipt-Pass-Ball Receipt,Mateo Retegui-Matteo Ruggeri-Marco Brescianini-Marco Brescianini-Mateo Retegui,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Ball Receipt-Miscontrol,Mateo Retegui-Mateo Retegui,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass,Berat Djimsiti,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Marten de Roon-Marten de Roon-Marten de Roon-Berat Djimsiti-Berat Djimsiti,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass-Ball Receipt-Carry-Pass,Isak Hien-Éderson José dos Santos Lourenço da Silva-Éderson José dos Santos Lourenço da Silva-Éderson José dos Santos Lourenço da Silva,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pressure,Mario Pašalić,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pressure,Éderson José dos Santos Lourenço da Silva,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pressure,Isak Hien,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pressure,Charles De Ketelaere,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Clearance,Matteo Ruggeri,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pressure,Mateo Retegui,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pressure,Mateo Retegui,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Foul Won-Injury Stoppage-Shot,Mateo Retegui-Mateo Retegui-Mateo Retegui,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Ball Receipt,Mateo Retegui,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Davide Zappacosta-Charles De Ketelaere-Charles De Ketelaere-Charles De Ketelaere-Davide Zappacosta-Davide Zappacosta-Davide Zappacosta,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Foul Committed,Marten de Roon,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass-Ball Receipt-Carry,Matteo Ruggeri-Davide Zappacosta-Davide Zappacosta,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass-Ball Receipt-Pass-Ball Receipt-Carry,Matteo Ruggeri-Juan Agustín Musso-Juan Agustín Musso-Matteo Ruggeri-Matteo Ruggeri,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass-Ball Receipt-Pass,Matteo Ruggeri-Berat Djimsiti-Berat Djimsiti,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Shot,Marco Brescianini,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass-Ball Receipt-Carry,Mario Pašalić-Marco Brescianini-Marco Brescianini,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass-Ball Receipt-Carry,Berat Djimsiti-Mario Pašalić-Mario Pašalić,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Davide Zappacosta-Mateo Retegui-Mateo Retegui-Marten de Roon-Marten de Roon-Marten de Roon-Isak Hien-Isak Hien-Isak Hien-Berat Djimsiti-Berat Djimsiti-Berat Djimsiti-Matteo Ruggeri-Matteo Ruggeri-Matteo Ruggeri-Éderson José dos Santos Lourenço da Silva-Éderson José dos Santos Lourenço da Silva-Éderson José dos Santos Lourenço da Silva-Berat Djimsiti-Berat Djimsiti,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Matteo Ruggeri-Mario Pašalić-Mario Pašalić-Mario Pašalić-Mateo Retegui-Mateo Retegui-Mateo Retegui-Davide Zappacosta-Davide Zappacosta,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Interception-Carry,Matteo Ruggeri-Matteo Ruggeri,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Clearance,Mateo Retegui,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Goal Keeper-Clearance,Juan Agustín Musso-Mateo Retegui,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Block-Goal Keeper,Isak Hien-Juan Agustín Musso,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Duel,Isak Hien,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Dribbled Past-Pressure,Mateo Retegui-Mateo Retegui,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pressure,Matteo Ruggeri,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pressure,Mario Pašalić,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass,Éderson José dos Santos Lourenço da Silva,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass-Ball Receipt,Marten de Roon-Éderson José dos Santos Lourenço da Silva,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Goal Keeper-Pass-Ball Receipt,Juan Agustín Musso-Juan Agustín Musso-Charles De Ketelaere,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pressure,Mateo Retegui,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pressure,Marten de Roon,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Foul Committed,Mario Pašalić,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Duel-Pressure,Matteo Ruggeri-Mario Pašalić,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pressure,Matteo Ruggeri,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass-Ball Receipt,Isak Hien-Charles De Ketelaere,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass,Éderson José dos Santos Lourenço da Silva,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Ball Receipt-Duel,Mario Pašalić-Mario Pašalić,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass,Isak Hien,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Ball Receipt-Duel,Éderson José dos Santos Lourenço da Silva-Éderson José dos Santos Lourenço da Silva,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass,Isak Hien,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass,Matteo Ruggeri,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Interception-Carry-Pass-Ball Receipt,Matteo Ruggeri-Matteo Ruggeri-Matteo Ruggeri-Marco Brescianini,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Marten de Roon-Marten de Roon-Marten de Roon-Matteo Ruggeri-Matteo Ruggeri-Matteo Ruggeri-Berat Djimsiti-Berat Djimsiti-Berat Djimsiti-Matteo Ruggeri-Matteo Ruggeri,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pressure,Marco Brescianini,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pressure,Mateo Retegui,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pressure,Marten de Roon,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Foul Committed,Isak Hien,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pressure,Isak Hien,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass,Isak Hien-Isak Hien-Isak Hien-Juan Agustín Musso-Juan Agustín Musso-Juan Agustín Musso,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Dispossessed,Isak Hien,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Interception-Carry,Isak Hien-Isak Hien,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Clearance,Éderson José dos Santos Lourenço da Silva,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Foul Committed,Marco Brescianini,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pressure,Marco Brescianini,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Ball Receipt-Carry-Dispossessed,Marco Brescianini-Marco Brescianini-Marco Brescianini,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass,Matteo Ruggeri,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass-Ball Receipt-Carry-Pass,Matteo Ruggeri-Marco Brescianini-Marco Brescianini-Marco Brescianini,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Charles De Ketelaere-Isak Hien-Isak Hien-Isak Hien-Matteo Ruggeri,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pressure,Davide Zappacosta,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Foul Won-Pass-Ball Receipt-Duel,Berat Djimsiti-Marten de Roon-Mateo Retegui-Mateo Retegui,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Shot,Mateo Retegui,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Davide Zappacosta-Charles De Ketelaere-Charles De Ketelaere-Charles De Ketelaere-Mario Pašalić-Mario Pašalić-Mario Pašalić-Mateo Retegui-Mateo Retegui-Mateo Retegui-Éderson José dos Santos Lourenço da Silva-Éderson José dos Santos Lourenço da Silva-Éderson José dos Santos Lourenço da Silva-Matteo Ruggeri-Matteo Ruggeri-Matteo Ruggeri-Mateo Retegui,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Charles De Ketelaere-Davide Zappacosta-Davide Zappacosta-Marten de Roon-Marten de Roon-Marten de Roon-Mario Pašalić-Mario Pašalić-Mario Pašalić-Davide Zappacosta-Davide Zappacosta,3944967,Atalanta,Won,4,0,First half,1.1336999024769463,0.785510576684887
