words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Sebastiano Luperto,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Pass,Simone Scuffet,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Sebastiano Luperto-Sebastiano Luperto-Sebastiano Luperto-Mateusz Wieteska-Mateusz Wieteska-Mateusz Wieteska-Simone Scuffet-Simone Scuffet,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Zito André Sebastião Luvumbo-Zito André Sebastião Luvumbo-Zito André Sebastião Luvumbo-Matteo Prati-Matteo Prati-Matteo Prati-Sebastiano Luperto-Sebastiano Luperto-Sebastiano Luperto,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Simone Scuffet-Simone Scuffet-Tommaso Augello-Tommaso Augello-Matteo Prati-Matteo Prati-Sebastiano Luperto-Sebastiano Luperto-Sebastiano Luperto-Matteo Prati-Matteo Prati-Matteo Prati-Mateusz Wieteska-Mateusz Wieteska-Mateusz Wieteska-Gabriele Zappa-Gabriele Zappa-Gabriele Zappa,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Duel,Paulo Daniel Dentello Azzi,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Foul Committed,Paulo Daniel Dentello Azzi,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Pressure,Paulo Daniel Dentello Azzi,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Pressure,Alessandro Deiola,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Ball Receipt-Carry-Miscontrol-Duel,Paulo Daniel Dentello Azzi-Paulo Daniel Dentello Azzi-Paulo Daniel Dentello Azzi-Paulo Daniel Dentello Azzi,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Pass,Gabriele Zappa,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Gabriele Zappa-Paulo Daniel Dentello Azzi-Paulo Daniel Dentello Azzi-Paulo Daniel Dentello Azzi-Alessandro Deiola-Alessandro Deiola-Alessandro Deiola-Gabriele Zappa,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Pressure,Matteo Prati,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Ball Recovery-Carry-Foul Committed,Roberto Piccoli-Roberto Piccoli-Roberto Piccoli,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Ball Receipt-Carry-Miscontrol,Zito André Sebastião Luvumbo-Zito André Sebastião Luvumbo-Zito André Sebastião Luvumbo,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Pass-Ball Receipt-Carry-Pass,Roberto Piccoli-Matteo Prati-Matteo Prati-Matteo Prati,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Pass-Ball Receipt-Carry,Tommaso Augello-Roberto Piccoli-Roberto Piccoli,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Pass-Ball Receipt-Pass-Ball Receipt-Carry,Gabriele Zappa-Sebastiano Luperto-Sebastiano Luperto-Tommaso Augello-Tommaso Augello,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Shot,Tommaso Augello-Matteo Prati-Matteo Prati-Matteo Prati-Paulo Daniel Dentello Azzi-Paulo Daniel Dentello Azzi-Paulo Daniel Dentello Azzi-Zito André Sebastião Luvumbo-Zito André Sebastião Luvumbo-Zito André Sebastião Luvumbo-Răzvan Gabriel Marin-Răzvan Gabriel Marin,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Dribble-Carry,Tommaso Augello-Tommaso Augello,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Răzvan Gabriel Marin-Matteo Prati-Matteo Prati-Matteo Prati-Tommaso Augello-Tommaso Augello-Sebastiano Luperto-Sebastiano Luperto-Sebastiano Luperto-Tommaso Augello-Tommaso Augello,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Pass-Ball Receipt,Gabriele Zappa-Roberto Piccoli,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Shot,Roberto Piccoli,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Ball Recovery,Matteo Prati,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Ball Recovery-Carry,Roberto Piccoli-Roberto Piccoli,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Pressure,Zito André Sebastião Luvumbo,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Duel-Block,Sebastiano Luperto-Sebastiano Luperto,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Pressure,Gabriele Zappa,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Pressure,Alessandro Deiola,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
50/50-Pass-Ball Receipt,Sebastiano Luperto-Răzvan Gabriel Marin-Roberto Piccoli,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
Block,Tommaso Augello,3944964,Cagliari,Drawn,0,0,First half,1.6453939656041183,0.74866288505157
