words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Jacopo Fazzini-Liam Henderson-Liam Henderson-Liam Henderson-Sebastian Walukiewicz-Sebastian Walukiewicz,3944959,Empoli,Drawn,0,0,First half,1.2672588835685807,0.7365352392420069
Ball Receipt,Lorenzo Colombo,3944959,Empoli,Drawn,0,0,First half,1.2672588835685807,0.7365352392420069
Pass,Mattia Viti,3944959,Empoli,Drawn,0,0,First half,1.2672588835685807,0.7365352392420069
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,Youssef Maleh-Emanuel Quartsin Gyasi-Emanuel Quartsin Gyasi-Emanuel Quartsin Gyasi-Youssef Maleh-Youssef Maleh-Youssef Maleh-Devis Estiven Vásquez Llach-Devis Estiven Vásquez Llach-Devis Estiven Vásquez Llach-Emanuel Quartsin Gyasi-Emanuel Quartsin Gyasi-Emanuel Quartsin Gyasi-Devis Estiven Vásquez Llach-Devis Estiven Vásquez Llach-Devis Estiven Vásquez Llach-Lorenzo Colombo-Lorenzo Colombo,3944959,Empoli,Drawn,0,0,First half,1.2672588835685807,0.7365352392420069
Pass-Ball Receipt-Duel,Liam Henderson-Ardian Ismajli-Ardian Ismajli,3944959,Empoli,Drawn,0,0,First half,1.2672588835685807,0.7365352392420069
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Ardian Ismajli-Ardian Ismajli-Ardian Ismajli-Liam Henderson-Liam Henderson-Liam Henderson-Sebastian Walukiewicz-Sebastian Walukiewicz-Sebastian Walukiewicz-Lorenzo Colombo,3944959,Empoli,Drawn,0,0,First half,1.2672588835685807,0.7365352392420069
Pass-Ball Receipt-Miscontrol-Pressure,Emanuel Quartsin Gyasi-Jacopo Fazzini-Jacopo Fazzini-Emanuel Quartsin Gyasi,3944959,Empoli,Drawn,0,0,First half,1.2672588835685807,0.7365352392420069
Ball Recovery-Carry,Emanuel Quartsin Gyasi-Emanuel Quartsin Gyasi,3944959,Empoli,Drawn,0,0,First half,1.2672588835685807,0.7365352392420069
Pressure,Youssef Maleh,3944959,Empoli,Drawn,0,0,First half,1.2672588835685807,0.7365352392420069
Pressure,Liam Henderson,3944959,Empoli,Drawn,0,0,First half,1.2672588835685807,0.7365352392420069
Pressure,Sebastiano Esposito,3944959,Empoli,Drawn,0,0,First half,1.2672588835685807,0.7365352392420069
Duel,Sebastiano Esposito,3944959,Empoli,Drawn,0,0,First half,1.2672588835685807,0.7365352392420069
Pressure,Sebastiano Esposito,3944959,Empoli,Drawn,0,0,First half,1.2672588835685807,0.7365352392420069
Duel-Ball Recovery-Carry-Pass-Ball Receipt,Mattia Viti-Sebastiano Esposito-Sebastiano Esposito-Sebastiano Esposito-Mattia Viti,3944959,Empoli,Drawn,0,0,First half,1.2672588835685807,0.7365352392420069
Pressure,Mattia Viti,3944959,Empoli,Drawn,0,0,First half,1.2672588835685807,0.7365352392420069
Pass-Ball Receipt,Ardian Ismajli-Youssef Maleh,3944959,Empoli,Drawn,0,0,First half,1.2672588835685807,0.7365352392420069
