words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry,Moise Bioty Kean-Sofyan Amrabat-Sofyan Amrabat,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Block-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Marin Pongracic-Pietro Comuzzo-Pietro Comuzzo-Pietro Comuzzo-Rolando Mandragora-Rolando Mandragora-Rolando Mandragora-Lucas Martínez Quarta-Lucas Martínez Quarta-Lucas Martínez Quarta-Andrea Colpani-Andrea Colpani-Andrea Colpani-Lucas Martínez Quarta-Lucas Martínez Quarta-Lucas Martínez Quarta-Rolando Mandragora-Rolando Mandragora-Christian Kouamé-Christian Kouamé-Rolando Mandragora-Rolando Mandragora-Rolando Mandragora-Andrea Colpani-Andrea Colpani-Andrea Colpani-Domilson Cordeiro dos Santos-Domilson Cordeiro dos Santos-Domilson Cordeiro dos Santos-Christian Kouamé,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Pressure,Marin Pongracic,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Dribbled Past-Foul Committed,Lucas Martínez Quarta-Lucas Martínez Quarta,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Ball Recovery-Carry-Pass-Pressure-Ball Receipt,Sofyan Amrabat-Sofyan Amrabat-Sofyan Amrabat-Lucas Martínez Quarta-Lucas Martínez Quarta,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Cristiano Biraghi-Rolando Mandragora-Rolando Mandragora-Rolando Mandragora-Cristiano Biraghi-Cristiano Biraghi-Cristiano Biraghi-Pietro Comuzzo-Pietro Comuzzo-Pietro Comuzzo-Lucas Martínez Quarta-Lucas Martínez Quarta-Lucas Martínez Quarta-Moise Bioty Kean,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Ball Receipt-Carry-Dispossessed,Moise Bioty Kean-Moise Bioty Kean-Moise Bioty Kean,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Lucas Martínez Quarta-Lucas Martínez Quarta-Domilson Cordeiro dos Santos-Domilson Cordeiro dos Santos-Rolando Mandragora-Rolando Mandragora-Rolando Mandragora-Cristiano Biraghi-Cristiano Biraghi-Cristiano Biraghi,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Duel,Pietro Comuzzo,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Dribble,Moise Bioty Kean,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Pass-Ball Receipt-Carry,Andrea Colpani-Moise Bioty Kean-Moise Bioty Kean,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Pass-Ball Receipt-Carry-Pass,Cristiano Biraghi-Sofyan Amrabat-Sofyan Amrabat-Sofyan Amrabat,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Shot,Cristiano Biraghi-Rolando Mandragora-Rolando Mandragora-Domilson Cordeiro dos Santos-Domilson Cordeiro dos Santos-Domilson Cordeiro dos Santos-Andrea Colpani-Andrea Colpani-Andrea Colpani,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Ball Receipt-Carry-Dispossessed,Moise Bioty Kean-Moise Bioty Kean-Moise Bioty Kean,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Pass,Christian Kouamé,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Pass-Ball Receipt,Cristiano Biraghi-Christian Kouamé,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Ball Recovery-Carry,Cristiano Biraghi-Cristiano Biraghi,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Clearance-Pressure,Marin Pongracic-Domilson Cordeiro dos Santos,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Pressure,Moise Bioty Kean,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Pass-Ball Receipt,Domilson Cordeiro dos Santos-Andrea Colpani,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Pietro Terracciano-Pietro Terracciano-Lucas Martínez Quarta-Lucas Martínez Quarta-Rolando Mandragora-Rolando Mandragora-Rolando Mandragora-Andrea Colpani-Andrea Colpani-Andrea Colpani-Domilson Cordeiro dos Santos-Domilson Cordeiro dos Santos,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Pressure,Marin Pongracic,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Pass-Ball Receipt,Marin Pongracic-Sofyan Amrabat,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Dribble-Carry,Marin Pongracic-Marin Pongracic,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
Pressure,Sofyan Amrabat,3944963,Fiorentina,Drawn,1,1,First half,1.300450178095528,0.7871821716808269
