words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Junior Messias-Alessandro Vogliacco-Alessandro Vogliacco-Alessandro Vogliacco-Milan Badelj-Milan Badelj-Milan Badelj-Mattia Bani-Mattia Bani-Mattia Bani,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Goal Keeper-Bad Behaviour-Pass,Pierluigi Gollini-Pierluigi Gollini-Pierluigi Gollini,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Interception-Shot,Morten Frendrup-Morten Frendrup,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pass,Koni De Winter,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pressure,Vítor Manuel Carvalho Oliveira,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pressure-Foul Committed,Johan Felipe Vásquez Ibarra-Johan Felipe Vásquez Ibarra,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pressure,Vítor Manuel Carvalho Oliveira,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pressure,Junior Messias,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Substitution-Pass-Tactical Shift-Ball Receipt,Alessandro Vogliacco-Aarón Martín Caricol-Unknown-Junior Messias,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Injury Stoppage,Alessandro Vogliacco,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Koni De Winter-Aarón Martín Caricol-Aarón Martín Caricol-Aarón Martín Caricol-Junior Messias,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Goal Keeper,Pierluigi Gollini,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pressure-Pressure,Mattia Bani-Alessandro Vogliacco,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pressure,Koni De Winter,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pressure,Ruslan Malinovskiy,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Ruslan Malinovskiy-Milan Badelj-Milan Badelj-Morten Frendrup-Morten Frendrup-Morten Frendrup-Aarón Martín Caricol,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Duel-Carry,Ruslan Malinovskiy-Ruslan Malinovskiy,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pressure,Ruslan Malinovskiy,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pass-Ball Receipt,Alessandro Zanoli-Vítor Manuel Carvalho Oliveira,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pressure,Vítor Manuel Carvalho Oliveira,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pass-Ball Receipt-Ball Receipt-Carry,Ruslan Malinovskiy-Ruslan Malinovskiy-Junior Messias-Junior Messias,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Foul Won-Pass,Junior Messias-Aarón Martín Caricol,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Dribble-Carry,Junior Messias-Junior Messias,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Ball Recovery-Shot,Ruslan Malinovskiy-Ruslan Malinovskiy,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Ball Receipt,Morten Frendrup,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Ball Receipt-Pass,Aarón Martín Caricol-Aarón Martín Caricol,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pass,Milan Badelj,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Duel,Junior Messias,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Goal Keeper-Pass-Ball Receipt,Pierluigi Gollini-Pierluigi Gollini-Junior Messias,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pressure,Vítor Manuel Carvalho Oliveira,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pressure,Junior Messias,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pressure,Ruslan Malinovskiy,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pressure,Junior Messias,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pressure,Koni De Winter,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pressure,Koni De Winter,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pressure,Junior Messias,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Clearance-Duel,Alessandro Zanoli-Vítor Manuel Carvalho Oliveira,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Block,Ruslan Malinovskiy,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pass-Ball Receipt,Johan Felipe Vásquez Ibarra-Vítor Manuel Carvalho Oliveira,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pass-Ball Receipt,Johan Felipe Vásquez Ibarra-Vítor Manuel Carvalho Oliveira,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Foul Won,Aarón Martín Caricol,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Duel,Aarón Martín Caricol,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pressure-Pressure,Morten Frendrup-Aarón Martín Caricol,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Foul Won-Pass-Ball Receipt-Duel,Junior Messias-Aarón Martín Caricol-Koni De Winter-Koni De Winter,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pass-Ball Receipt-Carry,Morten Frendrup-Junior Messias-Junior Messias,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Duel-Carry,Morten Frendrup-Morten Frendrup,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pressure,Morten Frendrup,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Dispossessed,Junior Messias,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pass-Ball Receipt-Carry,Aarón Martín Caricol-Junior Messias-Junior Messias,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Pass,Koni De Winter,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Ball Recovery-Carry,Koni De Winter-Koni De Winter,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
Foul Won-Pass,Aarón Martín Caricol-Koni De Winter,3944960,Genoa,Drawn,2,2,First half,1.6180126409052835,0.7297130633888337
