words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Foul Committed,Diego Coppola,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Pressure,Diego Coppola,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Ball Recovery-Carry-Pass,Lorenzo Montipò-Lorenzo Montipò-Lorenzo Montipò,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Interception,Diego Coppola,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Pressure,Tomáš Suslov,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Pressure,Tomáš Suslov,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Pressure,Tomáš Suslov,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,Lorenzo Montipò-Jackson Tchatchoua-Paweł Dawidowicz-Paweł Dawidowicz-Reda Belahyane-Reda Belahyane-Tomáš Suslov,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Goal Keeper,Lorenzo Montipò,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Pressure,Reda Belahyane,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Pressure,Dailon Rocha Livramento do Rosario,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Pass-Ball Receipt,Paweł Dawidowicz-Casper Tengstedt,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Pressure,Tomáš Suslov,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Duel,Tomáš Suslov,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Pressure,Tomáš Suslov,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Pressure,Tomáš Suslov,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Duel-Block-Duel,Jackson Tchatchoua-Jackson Tchatchoua-Casper Tengstedt,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Pass-Ball Receipt-Pass,Reda Belahyane-Lorenzo Montipò-Lorenzo Montipò,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Reda Belahyane-Paweł Dawidowicz-Paweł Dawidowicz-Reda Belahyane-Reda Belahyane-Paweł Dawidowicz-Paweł Dawidowicz-Paweł Dawidowicz-Reda Belahyane-Reda Belahyane,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Ball Receipt-Carry,Reda Belahyane-Reda Belahyane,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Ball Receipt-Pass,Ondrej Duda-Ondrej Duda,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Ball Receipt-Carry-Pass,Jackson Tchatchoua-Jackson Tchatchoua-Jackson Tchatchoua,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Duel-Pass-Ball Receipt-Pass,Casper Tengstedt-Jackson Tchatchoua-Ondrej Duda-Ondrej Duda,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Pressure,Casper Tengstedt,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Pressure,Paweł Dawidowicz,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Substitution-Substitution,Grigoris Kastanos-Martin Frese,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Pressure,Reda Belahyane,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Pressure-Foul Committed,Reda Belahyane-Reda Belahyane,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Duel-Carry,Reda Belahyane-Reda Belahyane,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Dispossessed,Tomáš Suslov,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Pressure,Reda Belahyane,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
Ball Receipt-Pass,Lorenzo Montipò-Lorenzo Montipò,3944966,Hellas Verona,Won,3,0,First half,0.5991545258938125,0.8998077800756953
