words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Lautaro Javier Martínez,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Duel,Henrikh Mkhitaryan,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Goal Keeper-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Shot,Yann Sommer-Yann Sommer-Nicolò Barella-Nicolò Barella-Nicolò Barella-Hakan Çalhanoğlu-Hakan Çalhanoğlu-Hakan Çalhanoğlu-Alessandro Bastoni-Alessandro Bastoni-Alessandro Bastoni-Henrikh Mkhitaryan-Henrikh Mkhitaryan,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Error-Ball Receipt,Yann Aurel Ludger Bisseck-Yann Aurel Ludger Bisseck-Yann Aurel Ludger Bisseck-Yann Sommer-Yann Sommer-Yann Sommer-Yann Sommer-Henrikh Mkhitaryan,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Pass-Ball Receipt-Pass-Ball Receipt,Francesco Acerbi-Henrikh Mkhitaryan-Henrikh Mkhitaryan-Federico Dimarco,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Foul Won-Pass-Ball Receipt,Nicolò Barella-Hakan Çalhanoğlu-Francesco Acerbi,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Alessandro Bastoni-Federico Dimarco-Federico Dimarco-Federico Dimarco-Yann Sommer-Yann Sommer-Yann Sommer-Yann Aurel Ludger Bisseck-Yann Aurel Ludger Bisseck-Yann Aurel Ludger Bisseck-Nicolò Barella-Nicolò Barella,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Pass-Ball Receipt-Carry,Hakan Çalhanoğlu-Alessandro Bastoni-Alessandro Bastoni,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Hakan Çalhanoğlu-Yann Sommer-Yann Sommer-Yann Sommer-Alessandro Bastoni-Alessandro Bastoni-Alessandro Bastoni-Hakan Çalhanoğlu-Hakan Çalhanoğlu,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Injury Stoppage,Lautaro Javier Martínez,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Block,Nicolò Barella,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Pressure,Federico Dimarco,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Shot,Marcus Thuram,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Ball Receipt-Carry,Marcus Thuram-Marcus Thuram,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Ball Receipt-Carry-Pass,Lautaro Javier Martínez-Lautaro Javier Martínez-Lautaro Javier Martínez,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Pass,Matteo Darmian,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Pressure,Henrikh Mkhitaryan,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Dribble,Henrikh Mkhitaryan,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Alessandro Bastoni-Alessandro Bastoni-Alessandro Bastoni-Nicolò Barella-Nicolò Barella-Nicolò Barella-Henrikh Mkhitaryan-Henrikh Mkhitaryan,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Hakan Çalhanoğlu-Matteo Darmian-Matteo Darmian-Matteo Darmian-Federico Dimarco,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Pressure-Pressure,Nicolò Barella-Yann Aurel Ludger Bisseck,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Goal Keeper-Ball Recovery-Carry,Yann Sommer-Hakan Çalhanoğlu-Hakan Çalhanoğlu,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Dribbled Past-Pressure-Foul Committed,Nicolò Barella-Yann Aurel Ludger Bisseck-Yann Aurel Ludger Bisseck,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Yann Sommer-Yann Sommer-Alessandro Bastoni-Alessandro Bastoni-Francesco Acerbi-Francesco Acerbi-Francesco Acerbi-Yann Sommer-Yann Sommer-Yann Sommer-Francesco Acerbi-Francesco Acerbi-Francesco Acerbi-Alessandro Bastoni-Alessandro Bastoni-Alessandro Bastoni-Francesco Acerbi-Francesco Acerbi-Francesco Acerbi-Yann Aurel Ludger Bisseck-Yann Aurel Ludger Bisseck,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Foul Committed,Davide Frattesi,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Pressure,Davide Frattesi,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Pressure,Denzel Dumfries,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Ball Receipt,Marcus Thuram,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Pass,Alessandro Bastoni,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Ball Receipt-Carry-Pass-Ball Receipt-Shot,Denzel Dumfries-Denzel Dumfries-Denzel Dumfries-Federico Dimarco-Federico Dimarco,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Nicolò Barella-Alessandro Bastoni-Alessandro Bastoni-Alessandro Bastoni-Hakan Çalhanoğlu-Hakan Çalhanoğlu-Hakan Çalhanoğlu-Yann Aurel Ludger Bisseck-Yann Aurel Ludger Bisseck-Yann Aurel Ludger Bisseck,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Ball Receipt-Carry,Nicolò Barella-Nicolò Barella,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Pass,Federico Dimarco,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Nicolò Barella-Federico Dimarco-Federico Dimarco-Federico Dimarco-Francesco Acerbi-Francesco Acerbi-Francesco Acerbi-Federico Dimarco-Federico Dimarco,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Nicolò Barella-Francesco Acerbi-Francesco Acerbi-Francesco Acerbi-Nicolò Barella-Nicolò Barella-Nicolò Barella-Federico Dimarco-Federico Dimarco-Federico Dimarco-Nicolò Barella-Nicolò Barella,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Hakan Çalhanoğlu-Hakan Çalhanoğlu-Hakan Çalhanoğlu-Francesco Acerbi-Francesco Acerbi-Yann Sommer-Yann Sommer-Yann Sommer-Alessandro Bastoni-Alessandro Bastoni-Alessandro Bastoni-Nicolò Barella-Nicolò Barella-Nicolò Barella-Federico Dimarco-Federico Dimarco-Federico Dimarco-Nicolò Barella-Nicolò Barella,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Pass,Yann Aurel Ludger Bisseck,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Pressure,Lautaro Javier Martínez,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,Hakan Çalhanoğlu-Hakan Çalhanoğlu-Hakan Çalhanoğlu-Marcus Thuram-Marcus Thuram-Marcus Thuram-Davide Frattesi-Davide Frattesi-Davide Frattesi,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Pass-Ball Receipt-Pass-Pressure-Ball Receipt,Yann Aurel Ludger Bisseck-Marcus Thuram-Marcus Thuram-Davide Frattesi-Davide Frattesi,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Substitution-Substitution-Tactical Shift,Henrikh Mkhitaryan-Matteo Darmian-Unknown,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
Foul Committed,Yann Aurel Ludger Bisseck,3944960,Inter Milan,Drawn,2,2,First half,1.553367984655173,0.7783115780031385
