words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Valentín Mariano José Castellanos Giménez,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Pass-Ball Receipt,Valentín Mariano José Castellanos Giménez-Fisayo Dele-Bashiru,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Foul Won-Ball Receipt-Carry,Mattéo Guendouzi Olié-Valentín Mariano José Castellanos Giménez-Valentín Mariano José Castellanos Giménez,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Pass,Mattéo Guendouzi Olié,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Block,Adam Marušić,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Pressure,Nicolò Rovella,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Pressure,Tijanni Noslin,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Pressure,Tijanni Noslin,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Pressure,Fisayo Dele-Bashiru,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Pressure,Nicolò Casale,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Pass-Duel,Ivan Provedel-Valentín Mariano José Castellanos Giménez,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Goal Keeper-Pass-Ball Receipt,Ivan Provedel-Alessio Romagnoli-Ivan Provedel,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Pressure,Mattia Zaccagni,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Clearance,Adam Marušić,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Block,Nicolò Rovella,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Pass-Ball Receipt,Alessio Romagnoli-Fisayo Dele-Bashiru,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Block-Foul Committed,Nicolò Rovella-Nicolò Rovella,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Pressure-Pressure,Alessio Romagnoli-Fisayo Dele-Bashiru,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Pressure,Fisayo Dele-Bashiru,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Pass-Ball Receipt,Ivan Provedel-Tijanni Noslin,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Valentín Mariano José Castellanos Giménez-Alessio Romagnoli-Nicolò Rovella-Nicolò Rovella-Nicolò Rovella-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Ivan Provedel-Ivan Provedel,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Ball Receipt-Carry,Valentín Mariano José Castellanos Giménez-Valentín Mariano José Castellanos Giménez,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Pass,Mattéo Guendouzi Olié,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Block-Clearance,Nicolò Rovella-Ivan Provedel,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Mattia Zaccagni-Mattia Zaccagni-Mattia Zaccagni-Nicolò Rovella-Nicolò Rovella-Nicolò Rovella-Manuel Lazzari-Manuel Lazzari-Manuel Lazzari-Tijanni Noslin-Tijanni Noslin-Tijanni Noslin-Valentín Mariano José Castellanos Giménez,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Nicolò Rovella-Nicolò Rovella-Nicolò Rovella-Manuel Lazzari-Manuel Lazzari-Manuel Lazzari-Nicolò Casale-Nicolò Casale-Nicolò Casale-Ivan Provedel-Ivan Provedel-Ivan Provedel-Adam Marušić-Adam Marušić-Adam Marušić,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Pressure,Tijanni Noslin,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Pressure,Tijanni Noslin,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
Substitution-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Nicolò Rovella-Manuel Lazzari-Matías Vecino Falero-Matías Vecino Falero-Matías Vecino Falero-Manuel Lazzari-Manuel Lazzari-Manuel Lazzari-Nicolò Casale-Nicolò Casale-Nicolò Casale-Alessio Romagnoli-Alessio Romagnoli,3944965,Lazio,Won,3,1,First half,0.8893170402392758,0.8692143556466236
