words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass,Hamza Rafia-Nikola Krstović-Nikola Krstović-Nikola Krstović,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Ball Receipt-Carry,Patrick Chinazaekpere Dorgu-Patrick Chinazaekpere Dorgu,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Pass,Lassana Coulibaly,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Duel-Ball Recovery-Carry,Kialonda Gaspar-Lassana Coulibaly-Lassana Coulibaly,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Pressure,Kialonda Gaspar,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Pressure,Lassana Coulibaly,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Pressure,Lassana Coulibaly,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Miscontrol,Kialonda Gaspar-Kialonda Gaspar-Ylber Ramadani-Ylber Ramadani-Kialonda Gaspar-Kialonda Gaspar-Federico Baschirotto-Federico Baschirotto-Federico Baschirotto-Antonino Gallo-Antonino Gallo-Antonino Gallo-Patrick Chinazaekpere Dorgu-Patrick Chinazaekpere Dorgu-Lassana Coulibaly-Lassana Coulibaly-Lassana Coulibaly,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Duel-Carry,Kialonda Gaspar-Kialonda Gaspar,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Pressure,Kialonda Gaspar,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Pressure,Lassana Coulibaly,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Pressure,Lassana Coulibaly,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Pass-Ball Receipt,Hamza Rafia-Nikola Krstović,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Pass-Ball Receipt-Carry,Valentin Gendrey-Hamza Rafia-Hamza Rafia,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
50/50,Ylber Ramadani,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Interception,Kialonda Gaspar,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Pressure,Lameck Banda,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Pressure,Patrick Chinazaekpere Dorgu,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Miscontrol,Nikola Krstović,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Nikola Krstović-Hamza Rafia-Hamza Rafia-Hamza Rafia-Ylber Ramadani-Ylber Ramadani-Ylber Ramadani-Hamza Rafia-Hamza Rafia-Hamza Rafia-Nikola Krstović-Nikola Krstović,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Ball Receipt-Carry,Nikola Krstović-Nikola Krstović,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Pass-Ball Receipt-Carry-Pass,Federico Baschirotto-Antonino Gallo-Antonino Gallo-Antonino Gallo,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Valentin Gendrey-Kialonda Gaspar-Kialonda Gaspar-Kialonda Gaspar-Federico Baschirotto-Federico Baschirotto-Federico Baschirotto-Ylber Ramadani-Ylber Ramadani-Kialonda Gaspar-Kialonda Gaspar-Kialonda Gaspar-Federico Baschirotto-Federico Baschirotto,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Pass-Ball Receipt-Duel,Kialonda Gaspar-Lameck Banda-Lameck Banda,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Kialonda Gaspar-Wladimiro Falcone-Wladimiro Falcone-Wladimiro Falcone-Kialonda Gaspar-Kialonda Gaspar,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt,Wladimiro Falcone-Nikola Krstović-Valentin Gendrey-Valentin Gendrey-Kialonda Gaspar,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Foul Committed,Lassana Coulibaly,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Pressure,Lassana Coulibaly,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Foul Won-Pass-Ball Receipt-Miscontrol,Patrick Chinazaekpere Dorgu-Federico Baschirotto-Nikola Krstović-Nikola Krstović,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Pressure,Antonino Gallo,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
Pressure,Lameck Banda,3944967,Lecce,Lost,0,4,First half,1.314672519820454,0.76394758097171
