words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Daniel Maldini,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Duel,Samuele Vignato,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Pass-Ball Receipt,Pablo Marí Villar-Samuele Vignato,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Clearance-Clearance,Giorgos Kiriakopoulos-Daniel Maldini,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Block,Luca Caldirola,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Clearance,Giorgos Kiriakopoulos,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Pressure,Daniel Maldini,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Pass-Ball Receipt,Andrea Petagna-Daniel Maldini,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Ball Receipt-Carry,Andrea Petagna-Andrea Petagna,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Pass,Armando Izzo,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Ball Recovery-Carry,Armando Izzo-Armando Izzo,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Dribble-Carry,Armando Izzo-Armando Izzo,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Interception-Carry,Armando Izzo-Armando Izzo,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Ball Receipt-Carry-Dispossessed,Samuele Vignato-Samuele Vignato-Samuele Vignato,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Pass,Roberto Gagliardini,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Pass-Ball Receipt,Armando Izzo-Andrea Petagna,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Semuel Pizzignacco-Semuel Pizzignacco-Semuel Pizzignacco-Armando Izzo-Armando Izzo,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Daniel Maldini-Luca Caldirola-Pablo Marí Villar-Pablo Marí Villar-Armando Izzo-Armando Izzo-Armando Izzo-Semuel Pizzignacco-Semuel Pizzignacco-Semuel Pizzignacco-Pablo Marí Villar-Pablo Marí Villar-Pablo Marí Villar,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Pass,Roberto Gagliardini,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Ball Receipt-Carry-Dispossessed,Warren Bondo-Warren Bondo-Warren Bondo,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Ball Recovery-Carry,Roberto Gagliardini-Roberto Gagliardini,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Foul Won,Roberto Gagliardini,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Pass-Ball Receipt-Carry,Roberto Gagliardini-Armando Izzo-Armando Izzo,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Pass-Ball Receipt,Armando Izzo-Samuele Vignato,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Pass-Ball Receipt,Warren Bondo-Andrea Petagna,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Pressure,Andrea Petagna,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Ball Receipt-Pass-Ball Receipt,Daniel Maldini-Daniel Maldini-Roberto Gagliardini,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Pressure-Foul Committed,Daniel Maldini-Daniel Maldini,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
Pressure,Daniel Maldini,3944959,Monza,Drawn,0,0,First half,1.9459178536758024,0.6842926118969157
