words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,Khvicha Kvaratskhelia-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus-Amir Rrahmani-Amir Rrahmani-Amir Rrahmani-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus-Leonardo Spinazzola-Leonardo Spinazzola-Khvicha Kvaratskhelia,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pass,Pasquale Mazzocchi,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pass,André-Frank Zambo Anguissa,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Ball Receipt-Pass-Ball Receipt,André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-Giovanni Pablo Simeone,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pass-Ball Receipt-Pass,André-Frank Zambo Anguissa-Giacomo Raspadori-Giacomo Raspadori,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Amir Rrahmani-Amir Rrahmani-Amir Rrahmani-Giovanni Di Lorenzo-Giovanni Di Lorenzo-Giovanni Di Lorenzo-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Juan Guilherme Nunes Jesus-Giovanni Di Lorenzo-Giovanni Di Lorenzo-Giovanni Di Lorenzo-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Ball Recovery-Shot,Matteo Politano-Matteo Politano,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Ball Receipt-Shot,André-Frank Zambo Anguissa-André-Frank Zambo Anguissa,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Giovanni Di Lorenzo-Pasquale Mazzocchi-Pasquale Mazzocchi-Pasquale Mazzocchi-Giovanni Di Lorenzo-Giovanni Di Lorenzo-Giovanni Di Lorenzo,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Amir Rrahmani-Alex Meret-Alex Meret-Alex Meret-Amir Rrahmani-Amir Rrahmani-Amir Rrahmani-Giovanni Di Lorenzo-Giovanni Di Lorenzo,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-Stanislav Lobotka-Stanislav Lobotka-Stanislav Lobotka-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus-Mathías Olivera Miramontes-Mathías Olivera Miramontes-Mathías Olivera Miramontes-Giacomo Raspadori-Giacomo Raspadori,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Mathías Olivera Miramontes-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus-Amir Rrahmani-Amir Rrahmani-Amir Rrahmani-Stanislav Lobotka-Stanislav Lobotka-Stanislav Lobotka-Giovanni Di Lorenzo-Giovanni Di Lorenzo-Giovanni Di Lorenzo,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Dispossessed,Mathías Olivera Miramontes,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Ball Receipt-Carry-Miscontrol-Ball Recovery-Carry,Amir Rrahmani-Amir Rrahmani-Amir Rrahmani-Mathías Olivera Miramontes-Mathías Olivera Miramontes,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pass,Mathías Olivera Miramontes,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pass,Mathías Olivera Miramontes,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pressure,Stanislav Lobotka,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pressure,Stanislav Lobotka,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pressure,Amir Rrahmani,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pressure,André-Frank Zambo Anguissa,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pressure,Giacomo Raspadori,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Dispossessed,Juan Guilherme Nunes Jesus,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,Giacomo Raspadori-Giacomo Raspadori-Giacomo Raspadori-Mathías Olivera Miramontes-Mathías Olivera Miramontes-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Amir Rrahmani-Stanislav Lobotka-Stanislav Lobotka-Stanislav Lobotka-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Foul Won,André-Frank Zambo Anguissa,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Ball Receipt-Carry,Giovanni Pablo Simeone-Giovanni Pablo Simeone,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pass-Ball Receipt-Carry,Stanislav Lobotka-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Dispossessed,Giovanni Pablo Simeone,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pressure,Stanislav Lobotka,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pressure,Giacomo Raspadori,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,Amir Rrahmani-Giovanni Di Lorenzo-Giovanni Di Lorenzo-Giovanni Di Lorenzo-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus-Giovanni Pablo Simeone-Giovanni Pablo Simeone,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pass-Ball Receipt,Pasquale Mazzocchi-Giovanni Pablo Simeone,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pass-Ball Receipt-Pass,Juan Guilherme Nunes Jesus-Amir Rrahmani-Amir Rrahmani,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pass,Juan Guilherme Nunes Jesus,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Block,Juan Guilherme Nunes Jesus,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pressure,Juan Guilherme Nunes Jesus,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pass,Alex Meret,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
Pressure,Pasquale Mazzocchi,3944966,Napoli,Lost,0,3,First half,1.588157946236903,0.7663560476725337
