words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Adrian Bernabe Garcia,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Clearance,Woyo Coulibaly,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Pass-Ball Receipt,Valentin Mihai Mihăilă-Simon Sohm,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Foul Won,Valentin Mihai Mihăilă,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Ball Recovery-Carry-Dribble-Carry,Valentin Mihai Mihăilă-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Pass-Ball Receipt-Carry-Miscontrol-Pressure,Botond Balogh-Dennis Man-Dennis Man-Dennis Man-Dennis Man,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Duel,Botond Balogh,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Block-Pressure,Woyo Coulibaly-Botond Balogh,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Pass,Simon Sohm,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Duel-Pass-Ball Receipt,Botond Balogh-Woyo Coulibaly-Simon Sohm,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Pressure,Botond Balogh,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Clearance-Pressure,Botond Balogh-Woyo Coulibaly,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Block-Goal Keeper-Block,Emanuele Valeri-Zion Suzuki-Nahuel Estévez,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Duel,Alessandro Circati,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Pressure,Alessandro Circati,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Duel,Botond Balogh,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Pressure,Dennis Man,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Emanuele Valeri-Simon Sohm-Simon Sohm-Simon Sohm-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă-Emanuele Valeri-Emanuele Valeri-Emanuele Valeri-Dennis Man,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Pass-Ball Receipt,Alessandro Circati-Ange-Yoan Bonny,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Block-Ball Recovery-Pass-Ball Receipt,Adrian Bernabe Garcia-Zion Suzuki-Zion Suzuki-Alessandro Circati,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Pressure,Emanuele Valeri,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Shot,Adrian Bernabe Garcia,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Ange-Yoan Bonny-Ange-Yoan Bonny-Ange-Yoan Bonny-Adrian Bernabe Garcia-Adrian Bernabe Garcia,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Dribbled Past,Ange-Yoan Bonny,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Pass-Ball Receipt,Simon Sohm-Emanuele Valeri,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Pressure,Simon Sohm,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Pressure,Alessandro Circati,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Pass,Zion Suzuki,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Pressure,Pontus Almqvist,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Pass-Ball Receipt-Carry-Foul Committed,Drissa Camara-Pontus Almqvist-Pontus Almqvist-Pontus Almqvist,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
Block-Goal Keeper-Ball Recovery-Pass-Ball Receipt,Adrian Bernabe Garcia-Zion Suzuki-Antoine Hainaut-Simon Sohm-Adrian Bernabe Garcia,3944963,Parma Calcio 1913,Drawn,1,1,First half,0.867951884516281,0.8204656425916966
