words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Joseph Alfred Duncan-Christian Gytkjær-Christian Gytkjær-Christian Gytkjær-Joseph Alfred Duncan-Joseph Alfred Duncan,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pressure,Magnus Andersen,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Foul Committed,Ridgeciano Haps,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Block-Pressure,Giorgio Altare-Ridgeciano Haps,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Nicholas Pierini-Marin Šverko-Marin Šverko-Marin Šverko-Ridgeciano Haps-Ridgeciano Haps-Joseph Alfred Duncan-Joseph Alfred Duncan-Joseph Alfred Duncan-Francesco Zampano-Francesco Zampano-Francesco Zampano,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pass-Ball Receipt-Carry,Ridgeciano Haps-Nicholas Pierini-Nicholas Pierini,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Ball Receipt-Pass-Ball Receipt-Carry,Marin Šverko-Marin Šverko-Ridgeciano Haps-Ridgeciano Haps,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pass-Ball Receipt-Carry-Pass,Joseph Alfred Duncan-Ridgeciano Haps-Ridgeciano Haps-Ridgeciano Haps,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Nicholas Pierini-Nicholas Pierini-Nicholas Pierini-Francesco Zampano-Francesco Zampano-Francesco Zampano-Giorgio Altare-Giorgio Altare-Giorgio Altare-Joseph Alfred Duncan-Joseph Alfred Duncan,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pass-Ball Receipt-Pass,Michael Svoboda-Magnus Andersen-Magnus Andersen,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pressure,Christian Gytkjær,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Shot,Joseph Alfred Duncan,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Ball Recovery-Ball Recovery-Carry,Mikael Egill Ellertsson-Joseph Alfred Duncan-Joseph Alfred Duncan,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Ball Recovery-Carry-Pass-Ball Receipt,Nicholas Pierini-Nicholas Pierini-Nicholas Pierini-Francesco Zampano,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Joseph Alfred Duncan-Joseph Alfred Duncan-Joseph Alfred Duncan-Marin Šverko-Marin Šverko-Marin Šverko-Nicholas Pierini-Nicholas Pierini-Nicholas Pierini-Marin Šverko-Marin Šverko-Marin Šverko-Michael Svoboda-Michael Svoboda-Michael Svoboda-Joseph Alfred Duncan-Joseph Alfred Duncan-Joseph Alfred Duncan-Marin Šverko-Marin Šverko-Marin Šverko-Nicholas Pierini-Nicholas Pierini-Nicholas Pierini-Mikael Egill Ellertsson,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,Magnus Andersen-Joseph Alfred Duncan-Joseph Alfred Duncan-Joseph Alfred Duncan-Magnus Andersen-Magnus Andersen-Magnus Andersen-Mikael Egill Ellertsson-Mikael Egill Ellertsson-Christian Gytkjær,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pass,Christian Gytkjær,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pass-Ball Receipt-Carry,Marin Šverko-Christian Gytkjær-Christian Gytkjær,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Marin Šverko-Magnus Andersen-Magnus Andersen-Magnus Andersen-Marin Šverko-Marin Šverko-Marin Šverko-Ridgeciano Haps-Ridgeciano Haps-Ridgeciano Haps-Marin Šverko-Marin Šverko,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pressure,Christian Gytkjær,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Foul Committed,Joseph Alfred Duncan,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Ball Recovery-Pressure,Joseph Alfred Duncan-Joseph Alfred Duncan,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pass-Ball Receipt-Carry-Pass,Francesco Zampano-Giorgio Altare-Giorgio Altare-Giorgio Altare,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Michael Svoboda-Jesse Joronen-Jesse Joronen-Jesse Joronen-Magnus Andersen-Magnus Andersen-Magnus Andersen-Michael Svoboda-Michael Svoboda-Michael Svoboda-Giorgio Altare-Giorgio Altare-Giorgio Altare-Christian Gytkjær,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pressure,Francesco Zampano,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Clearance,Ridgeciano Haps,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Interception-Carry,Michael Svoboda-Michael Svoboda,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Block,Nicholas Pierini,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pass,Michael Svoboda,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pressure,Michael Svoboda,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Foul Won-Bad Behaviour-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,Marin Šverko-Ridgeciano Haps-Michael Svoboda-Domen Črnigoj-Domen Črnigoj-Giorgio Altare-Giorgio Altare-Francesco Zampano,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Ball Recovery-Carry,Marin Šverko-Marin Šverko,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Duel,Michael Svoboda,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pressure,Christian Gytkjær,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Miscontrol-Ball Recovery-Carry-Shot,Nicholas Pierini-Ridgeciano Haps-Ridgeciano Haps-Ridgeciano Haps,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,Joseph Alfred Duncan-Michael Svoboda-Michael Svoboda-Michael Svoboda-Ridgeciano Haps-Ridgeciano Haps-Nicholas Pierini-Nicholas Pierini,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Foul Won-Substitution-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Joseph Alfred Duncan-Mikael Egill Ellertsson-Magnus Andersen-Michael Svoboda-Michael Svoboda-Michael Svoboda-Joseph Alfred Duncan-Joseph Alfred Duncan,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pass-Ball Receipt-Carry,Magnus Andersen-Joseph Alfred Duncan-Joseph Alfred Duncan,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pressure,Christian Gytkjær,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pressure,Magnus Andersen,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Clearance,Marin Šverko,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pass,Marin Šverko,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Francesco Zampano-Jesse Joronen-Jesse Joronen-Jesse Joronen-Marin Šverko-Marin Šverko,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Marin Šverko-Ridgeciano Haps-Ridgeciano Haps-Ridgeciano Haps-Giorgio Altare-Giorgio Altare-Giorgio Altare-Francesco Zampano-Francesco Zampano,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pressure,Joseph Alfred Duncan,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pressure,Nicholas Pierini,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
Pass-Ball Receipt,Michael Svoboda-Francesco Zampano,3944965,Venezia,Lost,1,3,First half,1.4903660494979845,0.7253234857068455
