words,match_id,team_name
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Duel-Ball Recovery-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass,3945013,AC Milan
Ball Receipt-Pass-Ball Receipt-Carry-Pass,3945013,AC Milan
Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945013,AC Milan
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Ball Recovery-Carry-Pass,3945013,AC Milan
Ball Receipt-Pass-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Dribbled Past,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Goal Keeper-Pass-Ball Receipt-Pass,3945013,AC Milan
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945013,AC Milan
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Block-Pressure,3945013,AC Milan
Duel,3945013,AC Milan
Ball Recovery-Pressure,3945013,AC Milan
Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Clearance,3945013,AC Milan
Duel,3945013,AC Milan
Block-Goal Keeper,3945013,AC Milan
Clearance,3945013,AC Milan
Pressure-Pressure,3945013,AC Milan
Block-Pass-Ball Receipt,3945013,AC Milan
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry,3945013,AC Milan
Dispossessed,3945013,AC Milan
Pressure,3945013,AC Milan
Pass-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Ball Recovery,3945013,AC Milan
Goal Keeper,3945013,AC Milan
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945013,AC Milan
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt,3945013,AC Milan
Pressure-Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt,3945013,AC Milan
Pass-Ball Receipt,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry,3945013,AC Milan
