words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Ball Recovery-Carry,3945040,AC Milan,Lost,1,2,First half
Pass,3945040,AC Milan,Lost,1,2,First half
Ball Receipt-Carry-Pass-Ball Receipt-Duel,3945040,AC Milan,Lost,1,2,First half
Pass,3945040,AC Milan,Lost,1,2,First half
Ball Receipt-Pass,3945040,AC Milan,Lost,1,2,First half
Ball Receipt-Shot,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Pass-Ball Receipt-Pass-Ball Receipt,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Duel,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Clearance,3945040,AC Milan,Lost,1,2,First half
Clearance,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Duel,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Interception-Ball Recovery-Carry-Pass-Ball Receipt-Carry,3945040,AC Milan,Lost,1,2,First half
Pass-Ball Receipt,3945040,AC Milan,Lost,1,2,First half
Block,3945040,AC Milan,Lost,1,2,First half
Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945040,AC Milan,Lost,1,2,First half
Pass-Ball Receipt,3945040,AC Milan,Lost,1,2,First half
Duel,3945040,AC Milan,Lost,1,2,First half
Pass-Block,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Pass-Ball Receipt-Carry,3945040,AC Milan,Lost,1,2,First half
Pass-Ball Receipt,3945040,AC Milan,Lost,1,2,First half
Miscontrol,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Foul Committed,3945040,AC Milan,Lost,1,2,First half
Pass-Ball Receipt-Carry-Pass,3945040,AC Milan,Lost,1,2,First half
Ball Receipt-Carry-Dispossessed,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Duel,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Clearance,3945040,AC Milan,Lost,1,2,First half
Clearance,3945040,AC Milan,Lost,1,2,First half
Pass-Ball Receipt-Pass-Ball Receipt,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3945040,AC Milan,Lost,1,2,First half
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945040,AC Milan,Lost,1,2,First half
Pass-Ball Receipt,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Pass-Ball Receipt-Carry,3945040,AC Milan,Lost,1,2,First half
Pass-Ball Receipt-Carry,3945040,AC Milan,Lost,1,2,First half
Pass-Ball Receipt-Carry,3945040,AC Milan,Lost,1,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945040,AC Milan,Lost,1,2,First half
Ball Receipt-Carry-Miscontrol,3945040,AC Milan,Lost,1,2,First half
Pass,3945040,AC Milan,Lost,1,2,First half
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945040,AC Milan,Lost,1,2,First half
Pass-Ball Receipt,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Interception,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Duel,3945040,AC Milan,Lost,1,2,First half
Clearance-Clearance,3945040,AC Milan,Lost,1,2,First half
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945040,AC Milan,Lost,1,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Pressure,3945040,AC Milan,Lost,1,2,First half
Duel-Carry-Miscontrol-Pressure,3945040,AC Milan,Lost,1,2,First half
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945040,AC Milan,Lost,1,2,First half
Pass-Ball Receipt-Pass-Ball Receipt-Carry,3945040,AC Milan,Lost,1,2,First half
Pass-Ball Receipt,3945040,AC Milan,Lost,1,2,First half
Pass-Ball Receipt-Carry,3945040,AC Milan,Lost,1,2,First half
Pass,3945040,AC Milan,Lost,1,2,First half
Ball Receipt-Carry-Dribble-Carry,3945040,AC Milan,Lost,1,2,First half
Dribble,3945040,AC Milan,Lost,1,2,First half
