words,match_id,team_name,outcome,goals_scored,goals_conceded
Pressure,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Interception-Carry-Pass-Ball Receipt-Carry,3945056,AC Milan,Lost,0,2
Dribble,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Ball Recovery-Carry,3945056,AC Milan,Lost,0,2
Miscontrol,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Pass-Ball Receipt-Duel,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Duel,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Duel-Pass-Ball Receipt,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Duel,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Duel,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Foul Committed,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Goal Keeper-Pressure,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Clearance,3945056,AC Milan,Lost,0,2
Interception,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Pressure,3945056,AC Milan,Lost,0,2
Ball Recovery-Pass-Ball Receipt-Pass,3945056,AC Milan,Lost,0,2
Ball Receipt-Pass-Ball Receipt,3945056,AC Milan,Lost,0,2
Ball Recovery-Carry,3945056,AC Milan,Lost,0,2
Miscontrol,3945056,AC Milan,Lost,0,2
