words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,3945110,AS Roma,Lost,0,2,First half,1.2229346825099368,0.788232049957544
Pass-Ball Receipt-Carry,3945110,AS Roma,Lost,0,2,First half,1.2229346825099368,0.788232049957544
Pass,3945110,AS Roma,Lost,0,2,First half,1.2229346825099368,0.788232049957544
Pass,3945110,AS Roma,Lost,0,2,First half,1.2229346825099368,0.788232049957544
Ball Receipt-Carry,3945110,AS Roma,Lost,0,2,First half,1.2229346825099368,0.788232049957544
Pass,3945110,AS Roma,Lost,0,2,First half,1.2229346825099368,0.788232049957544
Pressure,3945110,AS Roma,Lost,0,2,First half,1.2229346825099368,0.788232049957544
Foul Committed,3945110,AS Roma,Lost,0,2,First half,1.2229346825099368,0.788232049957544
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945110,AS Roma,Lost,0,2,First half,1.2229346825099368,0.788232049957544
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945110,AS Roma,Lost,0,2,First half,1.2229346825099368,0.788232049957544
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945110,AS Roma,Lost,0,2,First half,1.2229346825099368,0.788232049957544
Pressure,3945110,AS Roma,Lost,0,2,First half,1.2229346825099368,0.788232049957544
Pressure,3945110,AS Roma,Lost,0,2,First half,1.2229346825099368,0.788232049957544
Pressure-Foul Committed,3945110,AS Roma,Lost,0,2,First half,1.2229346825099368,0.788232049957544
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945110,AS Roma,Lost,0,2,First half,1.2229346825099368,0.788232049957544
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945110,AS Roma,Lost,0,2,First half,1.2229346825099368,0.788232049957544
Dribble-Carry,3945110,AS Roma,Lost,0,2,First half,1.2229346825099368,0.788232049957544
Pass-Ball Receipt-Carry,3945110,AS Roma,Lost,0,2,First half,1.2229346825099368,0.788232049957544
Pass-Pressure,3945110,AS Roma,Lost,0,2,First half,1.2229346825099368,0.788232049957544
