words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Receipt-Carry-Miscontrol,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Clearance,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Receipt,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Duel-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Dispossessed,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Miscontrol,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Duel,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Pass-Ball Receipt-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Dispossessed,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Miscontrol-Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Block-Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Receipt-Carry-Dispossessed,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Block,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Foul Won,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
50/50-Pass-Ball Receipt-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Foul Won-Shot,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
