words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Matteo Gabbia,3945205,AC Milan,Won,1,0,Second half,1.2445838861888283,0.790477169899003
Pressure,Yunus Dimoara Musah,3945205,AC Milan,Won,1,0,Second half,1.2445838861888283,0.790477169899003
Pressure,Kyle Walker,3945205,AC Milan,Won,1,0,Second half,1.2445838861888283,0.790477169899003
Duel,Kyle Walker,3945205,AC Milan,Won,1,0,Second half,1.2445838861888283,0.790477169899003
Goal Keeper,Mike Maignan,3945205,AC Milan,Won,1,0,Second half,1.2445838861888283,0.790477169899003
Pressure,Yunus Dimoara Musah,3945205,AC Milan,Won,1,0,Second half,1.2445838861888283,0.790477169899003
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,Mike Maignan-Mike Maignan-Mike Maignan-Theo Bernard François Hernández-Theo Bernard François Hernández-Theo Bernard François Hernández-Riccardo Sottil-Riccardo Sottil-Riccardo Sottil,3945205,AC Milan,Won,1,0,Second half,1.2445838861888283,0.790477169899003
Interception,Malick Thiaw,3945205,AC Milan,Won,1,0,Second half,1.2445838861888283,0.790477169899003
Pass-Pressure-Ball Receipt,Theo Bernard François Hernández-Riccardo Sottil-Riccardo Sottil,3945205,AC Milan,Won,1,0,Second half,1.2445838861888283,0.790477169899003
Pressure-Pressure-Pressure,Malick Thiaw-Malick Thiaw-Theo Bernard François Hernández,3945205,AC Milan,Won,1,0,Second half,1.2445838861888283,0.790477169899003
Goal Keeper,Mike Maignan,3945205,AC Milan,Won,1,0,Second half,1.2445838861888283,0.790477169899003
Clearance-Block,Theo Bernard François Hernández-João Félix Sequeira,3945205,AC Milan,Won,1,0,Second half,1.2445838861888283,0.790477169899003
Pressure,Youssouf Fofana,3945205,AC Milan,Won,1,0,Second half,1.2445838861888283,0.790477169899003
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Kyle Walker-Matteo Gabbia-Matteo Gabbia-Matteo Gabbia-Malick Thiaw-Malick Thiaw-Malick Thiaw-Matteo Gabbia-Matteo Gabbia-Matteo Gabbia-Kyle Walker-Kyle Walker,3945205,AC Milan,Won,1,0,Second half,1.2445838861888283,0.790477169899003
Pass,Kyle Walker,3945205,AC Milan,Won,1,0,Second half,1.2445838861888283,0.790477169899003
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Youssouf Fofana-Youssouf Fofana-Matteo Gabbia-Matteo Gabbia-Matteo Gabbia-Malick Thiaw-Malick Thiaw-Malick Thiaw-João Félix Sequeira-João Félix Sequeira,3945205,AC Milan,Won,1,0,Second half,1.2445838861888283,0.790477169899003
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,João Félix Sequeira-Malick Thiaw-Malick Thiaw-Malick Thiaw-Theo Bernard François Hernández-Theo Bernard François Hernández-Theo Bernard François Hernández-Malick Thiaw-Malick Thiaw-Malick Thiaw-Matteo Gabbia-Matteo Gabbia-Matteo Gabbia,3945205,AC Milan,Won,1,0,Second half,1.2445838861888283,0.790477169899003
Ball Receipt-Carry,Riccardo Sottil-Riccardo Sottil,3945205,AC Milan,Won,1,0,Second half,1.2445838861888283,0.790477169899003
Foul Won-Pass-Ball Receipt-Duel,Riccardo Sottil-Tijjani Reijnders-João Félix Sequeira-João Félix Sequeira,3945205,AC Milan,Won,1,0,Second half,1.2445838861888283,0.790477169899003
Duel,Theo Bernard François Hernández,3945205,AC Milan,Won,1,0,Second half,1.2445838861888283,0.790477169899003
