words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Matías Soulé-Gianluca Mancini-Gianluca Mancini-Gianluca Mancini-Eldor Shomurodov,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Pass-Ball Receipt-Carry,Eldor Shomurodov-Kouadio Emmanuel Koné-Kouadio Emmanuel Koné,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Kouadio Emmanuel Koné-Obite Evan Ndicka-Obite Evan Ndicka-Obite Evan Ndicka-Gianluca Mancini-Gianluca Mancini-Gianluca Mancini-Obite Evan Ndicka-Obite Evan Ndicka-Obite Evan Ndicka-Gianluca Mancini-Gianluca Mancini-Gianluca Mancini-Mehmet Zeki Çelik-Mehmet Zeki Çelik-Mehmet Zeki Çelik-Alexis Saelemaekers-Alexis Saelemaekers,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Alexis Saelemaekers-Mehmet Zeki Çelik-Mehmet Zeki Çelik-Mehmet Zeki Çelik-Mile Svilar-Mile Svilar,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Pass-Ball Receipt,Mile Svilar-Eldor Shomurodov,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Kouadio Emmanuel Koné-Matías Soulé-Matías Soulé-Matías Soulé-Kouadio Emmanuel Koné-Kouadio Emmanuel Koné-Kouadio Emmanuel Koné-Anass Salah-Eddine-Anass Salah-Eddine-Anass Salah-Eddine-Leandro Daniel Paredes-Leandro Daniel Paredes-Leandro Daniel Paredes-Lucas Gourna-Douath-Lucas Gourna-Douath-Lucas Gourna-Douath-Matías Soulé-Matías Soulé-Matías Soulé-Alexis Saelemaekers-Alexis Saelemaekers-Alexis Saelemaekers-Lucas Gourna-Douath-Lucas Gourna-Douath,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Pass-Ball Receipt-Carry-Pass,Lucas Gourna-Douath-Alexis Saelemaekers-Alexis Saelemaekers-Alexis Saelemaekers,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Ball Receipt,Matías Soulé,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Duel,Mehmet Zeki Çelik,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Pressure,Gianluca Mancini,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Pressure,Mehmet Zeki Çelik,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Leandro Daniel Paredes-Alexis Saelemaekers-Alexis Saelemaekers-Alexis Saelemaekers-Lucas Gourna-Douath-Lucas Gourna-Douath-Lucas Gourna-Douath,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Ball Receipt-Carry,Alexis Saelemaekers-Alexis Saelemaekers,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Pass-Ball Receipt,Alexis Saelemaekers-Leandro Daniel Paredes,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Block,Alexis Saelemaekers,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Pressure,Eldor Shomurodov,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Ball Recovery-Carry-Dispossessed,Obite Evan Ndicka-Obite Evan Ndicka-Obite Evan Ndicka,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Pressure,Obite Evan Ndicka,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Pressure,Lucas Gourna-Douath,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Pressure,Anass Salah-Eddine,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Pressure,Anass Salah-Eddine,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Pass,Gianluca Mancini,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,Leandro Daniel Paredes-Leandro Daniel Paredes-Leandro Daniel Paredes-Matías Soulé-Matías Soulé-Matías Soulé,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Pressure,Eldor Shomurodov,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Leandro Daniel Paredes-Leandro Daniel Paredes-Leandro Daniel Paredes-Mile Svilar-Mile Svilar,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Pass-Ball Receipt-Carry-Pass,Mile Svilar-Mehmet Zeki Çelik-Mehmet Zeki Çelik-Mehmet Zeki Çelik,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Ball Receipt-Carry-Pass,Matías Soulé-Matías Soulé-Matías Soulé,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Alexis Saelemaekers-Alexis Saelemaekers-Alexis Saelemaekers-Lucas Gourna-Douath-Lucas Gourna-Douath-Lucas Gourna-Douath-Matías Soulé-Matías Soulé,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
Pass-Ball Receipt-Carry,Matías Soulé-Mehmet Zeki Çelik-Mehmet Zeki Çelik,3945207,AS Roma,Won,1,0,Second half,1.4916549859277537,0.7373246020897457
