words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Mario Pašalić-Marten de Roon-Marten de Roon-Marten de Roon-Berat Djimsiti-Berat Djimsiti-Berat Djimsiti-Sead Kolašinac-Sead Kolašinac-Sead Kolašinac-Berat Djimsiti-Berat Djimsiti-Berat Djimsiti-Éderson José dos Santos Lourenço da Silva-Éderson José dos Santos Lourenço da Silva-Éderson José dos Santos Lourenço da Silva-Giorgio Scalvini-Giorgio Scalvini,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Pass-Ball Receipt,Giorgio Scalvini-Davide Zappacosta,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Pass-Ball Receipt,Charles De Ketelaere-Davide Zappacosta,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Shield-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Davide Zappacosta-Davide Zappacosta-Charles De Ketelaere-Charles De Ketelaere-Charles De Ketelaere-Berat Djimsiti-Berat Djimsiti-Berat Djimsiti-Marten de Roon-Marten de Roon,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Pass-Ball Receipt-Carry-Pass,Marten de Roon-Sead Kolašinac-Sead Kolašinac-Sead Kolašinac,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Matteo Ruggeri-Matteo Ruggeri-Matteo Ruggeri-Ademola Lookman-Ademola Lookman,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Ademola Lookman-Matteo Ruggeri-Matteo Ruggeri-Matteo Ruggeri-Ademola Lookman-Ademola Lookman-Ademola Lookman-Éderson José dos Santos Lourenço da Silva-Éderson José dos Santos Lourenço da Silva,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Éderson José dos Santos Lourenço da Silva-Giorgio Scalvini-Giorgio Scalvini-Giorgio Scalvini-Davide Zappacosta-Davide Zappacosta,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Davide Zappacosta-Giorgio Scalvini-Giorgio Scalvini-Giorgio Scalvini-Berat Djimsiti-Berat Djimsiti-Berat Djimsiti-Sead Kolašinac-Sead Kolašinac-Sead Kolašinac-Marten de Roon-Marten de Roon-Marten de Roon-Mario Pašalić-Mario Pašalić-Mario Pašalić-Charles De Ketelaere-Charles De Ketelaere-Charles De Ketelaere-Mario Pašalić-Mario Pašalić-Mario Pašalić,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Éderson José dos Santos Lourenço da Silva-Éderson José dos Santos Lourenço da Silva-Éderson José dos Santos Lourenço da Silva-Mario Pašalić-Mario Pašalić-Mario Pašalić-Giorgio Scalvini-Giorgio Scalvini-Giorgio Scalvini-Berat Djimsiti-Berat Djimsiti-Berat Djimsiti-Marten de Roon-Marten de Roon-Marten de Roon-Matteo Ruggeri-Matteo Ruggeri-Matteo Ruggeri-Marten de Roon-Marten de Roon-Marten de Roon-Mario Pašalić-Mario Pašalić-Mario Pašalić-Charles De Ketelaere-Charles De Ketelaere-Charles De Ketelaere-Giorgio Scalvini-Giorgio Scalvini-Giorgio Scalvini-Berat Djimsiti-Berat Djimsiti-Berat Djimsiti-Marten de Roon-Marten de Roon-Marten de Roon-Sead Kolašinac-Sead Kolašinac-Sead Kolašinac-Marten de Roon-Marten de Roon-Marten de Roon-Ademola Lookman-Ademola Lookman,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Pass-Ball Receipt,Ademola Lookman-Mario Pašalić,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Pressure,Ademola Lookman,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Pass-Ball Receipt,Sead Kolašinac-Mario Pašalić,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Pressure,Sead Kolašinac,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Duel-Ball Recovery-Carry-Pass-Ball Receipt,Sead Kolašinac-Éderson José dos Santos Lourenço da Silva-Éderson José dos Santos Lourenço da Silva-Éderson José dos Santos Lourenço da Silva-Ademola Lookman,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Pass,Giorgio Scalvini,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Ball Receipt-Carry,Éderson José dos Santos Lourenço da Silva-Éderson José dos Santos Lourenço da Silva,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Éderson José dos Santos Lourenço da Silva-Giorgio Scalvini-Davide Zappacosta-Davide Zappacosta-Davide Zappacosta-Giorgio Scalvini-Giorgio Scalvini-Giorgio Scalvini,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Davide Zappacosta-Davide Zappacosta-Davide Zappacosta-Éderson José dos Santos Lourenço da Silva-Éderson José dos Santos Lourenço da Silva-Éderson José dos Santos Lourenço da Silva,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Ball Receipt-Carry-Pass-Ball Receipt,Mario Pašalić-Mario Pašalić-Mario Pašalić-Ademola Lookman,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Duel,Ademola Lookman,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Pressure-Foul Committed,Davide Zappacosta-Davide Zappacosta,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Berat Djimsiti-Éderson José dos Santos Lourenço da Silva-Éderson José dos Santos Lourenço da Silva-Éderson José dos Santos Lourenço da Silva-Berat Djimsiti-Berat Djimsiti,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Berat Djimsiti-Sead Kolašinac-Sead Kolašinac-Sead Kolašinac-Matteo Ruggeri-Matteo Ruggeri,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Pass-Ball Receipt-Carry-Pass,Matteo Ruggeri-Sead Kolašinac-Sead Kolašinac-Sead Kolašinac,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Ball Receipt-Carry-Dispossessed,Ademola Lookman-Ademola Lookman-Ademola Lookman,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Pass-Ball Receipt-Carry,Sead Kolašinac-Berat Djimsiti-Berat Djimsiti,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Pass-Ball Receipt-Carry,Berat Djimsiti-Marco Carnesecchi-Marco Carnesecchi,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Pass-Ball Receipt-Carry,Marco Carnesecchi-Davide Zappacosta-Davide Zappacosta,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Pass-Ball Receipt-Carry,Davide Zappacosta-Marco Carnesecchi-Marco Carnesecchi,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
Pass-Ball Receipt,Marco Carnesecchi-Charles De Ketelaere,3945139,Atalanta,Drawn,1,1,First half,1.6893734617998546,0.7161757981073542
