words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,Nikola Moro-Łukasz Skorupski-Łukasz Skorupski-Łukasz Skorupski-Emil Holm-Emil Holm,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Pass,Nikola Moro,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Ball Receipt-Injury Stoppage-Referee Ball-Drop,Emil Holm-Łukasz Skorupski-Unknown,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Pressure,Thijs Dallinga,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Pass,Charalampos Lykogiannis,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Pressure,Nikola Moro,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Clearance,Jhon Janer Lucumí Bonilla,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Pass-Ball Receipt-Carry-Pass,Jhon Janer Lucumí Bonilla-Charalampos Lykogiannis-Charalampos Lykogiannis-Charalampos Lykogiannis,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Ball Receipt-Carry,Dan Ndoye-Dan Ndoye,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Dan Ndoye-Charalampos Lykogiannis-Jhon Janer Lucumí Bonilla-Jhon Janer Lucumí Bonilla-Jhon Janer Lucumí Bonilla-Emil Holm-Emil Holm-Emil Holm-Thijs Dallinga,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Block,Thijs Dallinga,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Pressure,Thijs Dallinga,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Pressure,Benjamín Domínguez,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Pressure,Emil Holm,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Pass,Jhon Janer Lucumí Bonilla,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Nikola Moro-Nikola Moro-Nikola Moro-Łukasz Skorupski-Łukasz Skorupski-Łukasz Skorupski-Sam Beukema-Sam Beukema-Sam Beukema-Nikola Moro-Nikola Moro-Nikola Moro-Łukasz Skorupski-Łukasz Skorupski-Łukasz Skorupski-Charalampos Lykogiannis-Charalampos Lykogiannis-Charalampos Lykogiannis-Łukasz Skorupski-Łukasz Skorupski-Łukasz Skorupski-Emil Holm-Emil Holm-Emil Holm,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Ball Receipt-Carry,Thijs Dallinga-Thijs Dallinga,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Foul Won-Pass-Ball Receipt-Shot,Thijs Dallinga-Nikola Moro-Jhon Janer Lucumí Bonilla-Jhon Janer Lucumí Bonilla,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Pressure,Emil Holm,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Ball Recovery-Carry-Pass,Emil Holm-Emil Holm-Emil Holm,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Sam Beukema-Sam Beukema-Sam Beukema-Charalampos Lykogiannis-Charalampos Lykogiannis-Charalampos Lykogiannis-Dan Ndoye-Dan Ndoye,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Dispossessed,Dan Ndoye,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Pressure,Remo Freuler,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Pressure,Benjamín Domínguez,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Pass-Ball Receipt,Emil Holm-Benjamín Domínguez,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Emil Holm-Sam Beukema-Sam Beukema-Sam Beukema-Nikola Moro-Nikola Moro-Nikola Moro-Emil Holm-Emil Holm-Emil Holm-Remo Freuler-Remo Freuler-Remo Freuler-Sam Beukema-Sam Beukema,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Sam Beukema-Łukasz Skorupski-Łukasz Skorupski-Łukasz Skorupski-Remo Freuler-Remo Freuler-Remo Freuler-Łukasz Skorupski-Łukasz Skorupski-Łukasz Skorupski,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Łukasz Skorupski-Łukasz Skorupski-Łukasz Skorupski-Charalampos Lykogiannis-Charalampos Lykogiannis-Charalampos Lykogiannis-Dan Ndoye-Dan Ndoye,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Dribble,Dan Ndoye,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Pressure,Nikola Moro,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Pressure,Remo Freuler,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Pressure,Remo Freuler,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Ball Recovery-Carry,Emil Holm-Emil Holm,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Pass,Emil Holm,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
Ball Receipt-Carry,Benjamín Domínguez-Benjamín Domínguez,3945170,Bologna,Drawn,1,1,Second half,1.5329675361454218,0.7365388166369168
