words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Nadir Zortea,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pressure,Yerry Fernando Mina González,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pressure,Michel Ndary Adopo,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pressure,Nadir Zortea,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Block,Nadir Zortea,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Ball Recovery-Carry-Dispossessed,Nadir Zortea-Nadir Zortea-Nadir Zortea,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pressure,Antoine Makoumbou,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pressure,José Luis Palomino,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Yerry Fernando Mina González-Michel Ndary Adopo-Michel Ndary Adopo-Michel Ndary Adopo-Alessandro Deiola-Alessandro Deiola,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pass-Ball Receipt-Carry,Alessandro Deiola-Tommaso Augello-Tommaso Augello,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pass-Ball Receipt-Carry-Pass,Tommaso Augello-José Luis Palomino-José Luis Palomino-José Luis Palomino,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pressure,Roberto Piccoli,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Dribbled Past,Roberto Piccoli,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pressure,Florinel Teodor Coman,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Block-Ball Recovery-Carry,Florinel Teodor Coman-Alessandro Deiola-Alessandro Deiola,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Alessandro Deiola-Michel Ndary Adopo-Michel Ndary Adopo-Michel Ndary Adopo-Roberto Piccoli,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pressure-Pressure,Roberto Piccoli-Yerry Fernando Mina González,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Shield-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,Tommaso Augello-Elia Caprile-Yerry Fernando Mina González-Yerry Fernando Mina González-Gabriele Zappa-Gabriele Zappa-Gabriele Zappa-Michel Ndary Adopo-Michel Ndary Adopo,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pressure,Alessandro Deiola,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pressure,Antoine Makoumbou,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Block-Goal Keeper-Ball Recovery-Carry,José Luis Palomino-Elia Caprile-Florinel Teodor Coman-Florinel Teodor Coman,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Florinel Teodor Coman-Antoine Makoumbou-José Luis Palomino-José Luis Palomino-José Luis Palomino-Florinel Teodor Coman-Florinel Teodor Coman,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Miscontrol,Florinel Teodor Coman,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pressure-Pressure-Foul Committed,Michel Ndary Adopo-Nadir Zortea-Nadir Zortea,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Elia Caprile-Elia Caprile-Elia Caprile-Gabriele Zappa-Gabriele Zappa-Gabriele Zappa-Nadir Zortea-Nadir Zortea,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Dispossessed,Nadir Zortea,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pass-Ball Receipt-Carry,Nadir Zortea-Roberto Piccoli-Roberto Piccoli,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Dribble-Carry,Roberto Piccoli-Roberto Piccoli,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Roberto Piccoli-Michel Ndary Adopo-Michel Ndary Adopo-Michel Ndary Adopo-Antoine Makoumbou-Antoine Makoumbou-Antoine Makoumbou,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Ball Receipt-Carry-Pass,Gabriele Zappa-Gabriele Zappa-Gabriele Zappa,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Ball Receipt-Carry,Alessandro Deiola-Alessandro Deiola,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Alessandro Deiola-José Luis Palomino-José Luis Palomino-José Luis Palomino-Tommaso Augello-Tommaso Augello-Tommaso Augello-Antoine Makoumbou-Antoine Makoumbou-Antoine Makoumbou-Yerry Fernando Mina González-Yerry Fernando Mina González-Yerry Fernando Mina González-Gabriele Zappa-Gabriele Zappa-Gabriele Zappa-Nadir Zortea-Nadir Zortea,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Nadir Zortea-Michel Ndary Adopo-Michel Ndary Adopo-Michel Ndary Adopo-Yerry Fernando Mina González-Yerry Fernando Mina González-Yerry Fernando Mina González-José Luis Palomino-José Luis Palomino-José Luis Palomino-Florinel Teodor Coman-Florinel Teodor Coman-Florinel Teodor Coman-Alessandro Deiola-Alessandro Deiola-Alessandro Deiola-Tommaso Augello-Tommaso Augello-Tommaso Augello-José Luis Palomino-José Luis Palomino-José Luis Palomino-Alessandro Deiola-Alessandro Deiola-Alessandro Deiola-Gabriele Zappa-Gabriele Zappa-Gabriele Zappa-Nadir Zortea-Nadir Zortea-Nadir Zortea,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Block,Nadir Zortea,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pressure-Pressure,Yerry Fernando Mina González-Alessandro Deiola,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Ball Recovery-Carry-Pass-Ball Receipt,Michel Ndary Adopo-Michel Ndary Adopo-Michel Ndary Adopo-Roberto Piccoli,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pressure,Roberto Piccoli,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pressure,Gabriele Zappa,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pressure,Florinel Teodor Coman,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pressure,Florinel Teodor Coman,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pressure,Gabriele Zappa,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Pressure,Yerry Fernando Mina González,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Goal Keeper-Pass-Ball Receipt-Pass,Elia Caprile-Elia Caprile-Tommaso Augello-Tommaso Augello,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Ball Receipt-Carry-Miscontrol-Pressure,Florinel Teodor Coman-Florinel Teodor Coman-Florinel Teodor Coman-Tommaso Augello,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
Foul Committed,Tommaso Augello,3945273,Cagliari,Lost,1,3,Second half,0.9884785715528508,0.8276273214591514
