words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,Patrick Cutrone-Marc-Oliver Kempf-Marc-Oliver Kempf-Marc-Oliver Kempf-Yannik Engelhardt-Yannik Engelhardt-Yannik Engelhardt-Edoardo Goldaniga-Edoardo Goldaniga-Edoardo Goldaniga-Ignace Van der Brempt-Ignace Van der Brempt-Edoardo Goldaniga-Edoardo Goldaniga-Edoardo Goldaniga-Marc-Oliver Kempf-Marc-Oliver Kempf-Marc-Oliver Kempf-Patrick Cutrone-Patrick Cutrone,3945091,Como,Drawn,1,1,First half,1.3850271761305342,0.7693712430621659
Pass,Edoardo Goldaniga,3945091,Como,Drawn,1,1,First half,1.3850271761305342,0.7693712430621659
Ball Receipt-Pass-Ball Receipt-Carry-Pass,Yannik Engelhardt-Yannik Engelhardt-Ignace Van der Brempt-Ignace Van der Brempt-Ignace Van der Brempt,3945091,Como,Drawn,1,1,First half,1.3850271761305342,0.7693712430621659
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Edoardo Goldaniga-Edoardo Goldaniga-Edoardo Goldaniga-Ignace Van der Brempt-Ignace Van der Brempt-Ignace Van der Brempt-Patrick Cutrone-Patrick Cutrone,3945091,Como,Drawn,1,1,First half,1.3850271761305342,0.7693712430621659
Pass,Patrick Cutrone,3945091,Como,Drawn,1,1,First half,1.3850271761305342,0.7693712430621659
Ball Receipt-Miscontrol-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Gabriel Tadeu Strefezza Rebelato-Gabriel Tadeu Strefezza Rebelato-Ignace Van der Brempt-Edoardo Goldaniga-Edoardo Goldaniga-Edoardo Goldaniga-Marc-Oliver Kempf-Marc-Oliver Kempf,3945091,Como,Drawn,1,1,First half,1.3850271761305342,0.7693712430621659
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Marc-Oliver Kempf-José Manuel Reina Páez-José Manuel Reina Páez-José Manuel Reina Páez-Marc-Oliver Kempf-Marc-Oliver Kempf-Marc-Oliver Kempf-Patrick Cutrone,3945091,Como,Drawn,1,1,First half,1.3850271761305342,0.7693712430621659
Ball Recovery-Pressure,Nicolás Paz Martínez-Patrick Cutrone,3945091,Como,Drawn,1,1,First half,1.3850271761305342,0.7693712430621659
Pressure,Nicolás Paz Martínez,3945091,Como,Drawn,1,1,First half,1.3850271761305342,0.7693712430621659
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,Ignace Van der Brempt-Yannik Engelhardt-Yannik Engelhardt-Yannik Engelhardt-Nicolás Paz Martínez-Nicolás Paz Martínez-Patrick Cutrone,3945091,Como,Drawn,1,1,First half,1.3850271761305342,0.7693712430621659
Pass,Patrick Cutrone,3945091,Como,Drawn,1,1,First half,1.3850271761305342,0.7693712430621659
Pass-Ball Receipt,Ignace Van der Brempt-Gabriel Tadeu Strefezza Rebelato,3945091,Como,Drawn,1,1,First half,1.3850271761305342,0.7693712430621659
Pressure,Marc-Oliver Kempf,3945091,Como,Drawn,1,1,First half,1.3850271761305342,0.7693712430621659
Pressure,Lucas Da Cunha,3945091,Como,Drawn,1,1,First half,1.3850271761305342,0.7693712430621659
Duel-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Lucas Da Cunha-Marc-Oliver Kempf-José Manuel Reina Páez-José Manuel Reina Páez-José Manuel Reina Páez-Edoardo Goldaniga-Edoardo Goldaniga-Edoardo Goldaniga-Ignace Van der Brempt-Ignace Van der Brempt-Ignace Van der Brempt,3945091,Como,Drawn,1,1,First half,1.3850271761305342,0.7693712430621659
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Patrick Cutrone-Patrick Cutrone-Patrick Cutrone-Gabriel Tadeu Strefezza Rebelato-Gabriel Tadeu Strefezza Rebelato-Gabriel Tadeu Strefezza Rebelato-Alieu Fadera-Alieu Fadera-Alieu Fadera-Alberto Moreno Pérez-Alberto Moreno Pérez-Alberto Moreno Pérez-Alieu Fadera-Alieu Fadera-Nicolás Paz Martínez-Nicolás Paz Martínez-Nicolás Paz Martínez-Alberto Moreno Pérez-Alberto Moreno Pérez-Alberto Moreno Pérez,3945091,Como,Drawn,1,1,First half,1.3850271761305342,0.7693712430621659
Ball Receipt-Carry-Pass-Block-Ball Receipt,Gabriel Tadeu Strefezza Rebelato-Gabriel Tadeu Strefezza Rebelato-Gabriel Tadeu Strefezza Rebelato-Yannik Engelhardt-Lucas Da Cunha,3945091,Como,Drawn,1,1,First half,1.3850271761305342,0.7693712430621659
Interception-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Lucas Da Cunha-Lucas Da Cunha-Lucas Da Cunha-Edoardo Goldaniga-Edoardo Goldaniga-Edoardo Goldaniga-Ignace Van der Brempt-Ignace Van der Brempt-Ignace Van der Brempt-Yannik Engelhardt-Yannik Engelhardt-Yannik Engelhardt-Marc-Oliver Kempf-Marc-Oliver Kempf-Marc-Oliver Kempf-Alberto Moreno Pérez-Alberto Moreno Pérez-Alberto Moreno Pérez,3945091,Como,Drawn,1,1,First half,1.3850271761305342,0.7693712430621659
