words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Sebastiano Esposito-Alberto Grassi-Alberto Grassi-Alberto Grassi-Saba Goglichidze-Saba Goglichidze-Saba Goglichidze-Faustino Anjorin-Faustino Anjorin-Faustino Anjorin-Ardian Ismajli-Ardian Ismajli-Ardian Ismajli-Giuseppe Pezzella-Giuseppe Pezzella-Giuseppe Pezzella-Ardian Ismajli-Ardian Ismajli-Ardian Ismajli-Faustino Anjorin-Faustino Anjorin-Saba Goglichidze-Saba Goglichidze-Saba Goglichidze-Emanuel Quartsin Gyasi,3945132,Empoli,Lost,1,2,First half,1.3545235124226325,0.7732805816138112
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,Emanuel Quartsin Gyasi-Sebastiano Esposito-Sebastiano Esposito-Sebastiano Esposito-Emanuel Quartsin Gyasi-Emanuel Quartsin Gyasi-Lorenzo Colombo,3945132,Empoli,Lost,1,2,First half,1.3545235124226325,0.7732805816138112
Duel,Emanuel Quartsin Gyasi,3945132,Empoli,Lost,1,2,First half,1.3545235124226325,0.7732805816138112
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Devis Estiven Vásquez Llach-Devis Estiven Vásquez Llach-Devis Estiven Vásquez Llach-Giuseppe Pezzella-Giuseppe Pezzella-Giuseppe Pezzella-Devis Estiven Vásquez Llach-Devis Estiven Vásquez Llach,3945132,Empoli,Lost,1,2,First half,1.3545235124226325,0.7732805816138112
Pass-Ball Receipt,Devis Estiven Vásquez Llach-Emanuel Quartsin Gyasi,3945132,Empoli,Lost,1,2,First half,1.3545235124226325,0.7732805816138112
Pressure,Sebastiano Esposito,3945132,Empoli,Lost,1,2,First half,1.3545235124226325,0.7732805816138112
Ball Recovery-Carry,Giuseppe Pezzella-Giuseppe Pezzella,3945132,Empoli,Lost,1,2,First half,1.3545235124226325,0.7732805816138112
Dispossessed,Giuseppe Pezzella,3945132,Empoli,Lost,1,2,First half,1.3545235124226325,0.7732805816138112
Pressure,Liam Henderson,3945132,Empoli,Lost,1,2,First half,1.3545235124226325,0.7732805816138112
Pass-Ball Receipt,Liberato Gianpaolo Cacace-Liam Henderson,3945132,Empoli,Lost,1,2,First half,1.3545235124226325,0.7732805816138112
Duel,Liam Henderson,3945132,Empoli,Lost,1,2,First half,1.3545235124226325,0.7732805816138112
Pass-Ball Receipt-Carry,Giuseppe Pezzella-Sebastiano Esposito-Sebastiano Esposito,3945132,Empoli,Lost,1,2,First half,1.3545235124226325,0.7732805816138112
Pass-Ball Receipt,Sebastiano Esposito-Lorenzo Colombo,3945132,Empoli,Lost,1,2,First half,1.3545235124226325,0.7732805816138112
