words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Lucas Beltrán-Pietro Comuzzo-Pietro Comuzzo-Pietro Comuzzo-Domilson Cordeiro dos Santos,3945141,Fiorentina,Lost,0,3,First half,1.17228129116871,0.8176410469163987
Pressure-Foul Committed,Lucas Beltrán-Lucas Beltrán,3945141,Fiorentina,Lost,0,3,First half,1.17228129116871,0.8176410469163987
Pass,Pietro Comuzzo,3945141,Fiorentina,Lost,0,3,First half,1.17228129116871,0.8176410469163987
Pressure,Lucas Beltrán,3945141,Fiorentina,Lost,0,3,First half,1.17228129116871,0.8176410469163987
Pressure,Fabiano Parisi,3945141,Fiorentina,Lost,0,3,First half,1.17228129116871,0.8176410469163987
Pressure,Pietro Comuzzo,3945141,Fiorentina,Lost,0,3,First half,1.17228129116871,0.8176410469163987
Duel-Pressure,Pietro Comuzzo-Pietro Comuzzo,3945141,Fiorentina,Lost,0,3,First half,1.17228129116871,0.8176410469163987
Pressure,Pietro Comuzzo,3945141,Fiorentina,Lost,0,3,First half,1.17228129116871,0.8176410469163987
Pass-Miscontrol-Ball Receipt,David de Gea Quintana-Moise Bioty Kean-Moise Bioty Kean,3945141,Fiorentina,Lost,0,3,First half,1.17228129116871,0.8176410469163987
Pressure,Domilson Cordeiro dos Santos,3945141,Fiorentina,Lost,0,3,First half,1.17228129116871,0.8176410469163987
Pass-Ball Receipt-Carry-Miscontrol,Yacine Adli-Moise Bioty Kean-Moise Bioty Kean-Moise Bioty Kean,3945141,Fiorentina,Lost,0,3,First half,1.17228129116871,0.8176410469163987
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,Matías Agustin Moreno-Yacine Adli-Yacine Adli-Yacine Adli-Domilson Cordeiro dos Santos-Domilson Cordeiro dos Santos-Domilson Cordeiro dos Santos,3945141,Fiorentina,Lost,0,3,First half,1.17228129116871,0.8176410469163987
Interception,Fabiano Parisi,3945141,Fiorentina,Lost,0,3,First half,1.17228129116871,0.8176410469163987
Pressure,Lucas Beltrán,3945141,Fiorentina,Lost,0,3,First half,1.17228129116871,0.8176410469163987
