words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Junior Messias-Alessandro Vogliacco-Alessandro Vogliacco-Alessandro Vogliacco-Milan Badelj-Milan Badelj-Milan Badelj-Mattia Bani-Mattia Bani-Mattia Bani,3944960,Genoa,Drawn,2,2,First half,1.6180126409052837,0.7297130633888337
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Alessandro Vogliacco-Alessandro Vogliacco-Alessandro Vogliacco-Alessandro Zanoli-Alessandro Zanoli-Alessandro Zanoli-Junior Messias,3944960,Genoa,Drawn,2,2,First half,1.6180126409052837,0.7297130633888337
Pressure-Foul Committed,Morten Frendrup-Morten Frendrup,3944960,Genoa,Drawn,2,2,First half,1.6180126409052837,0.7297130633888337
Pressure,Ruslan Malinovskiy,3944960,Genoa,Drawn,2,2,First half,1.6180126409052837,0.7297130633888337
Pressure,Mattia Bani,3944960,Genoa,Drawn,2,2,First half,1.6180126409052837,0.7297130633888337
Duel-Pass-Ball Receipt,Mattia Bani-Ruslan Malinovskiy-Junior Messias,3944960,Genoa,Drawn,2,2,First half,1.6180126409052837,0.7297130633888337
Pass-Ball Receipt-Pass,Pierluigi Gollini-Junior Messias-Junior Messias,3944960,Genoa,Drawn,2,2,First half,1.6180126409052837,0.7297130633888337
Ball Receipt,Morten Frendrup,3944960,Genoa,Drawn,2,2,First half,1.6180126409052837,0.7297130633888337
Pass-Ball Receipt-Carry,Morten Frendrup-Vítor Manuel Carvalho Oliveira-Vítor Manuel Carvalho Oliveira,3944960,Genoa,Drawn,2,2,First half,1.6180126409052837,0.7297130633888337
Dispossessed,Vítor Manuel Carvalho Oliveira,3944960,Genoa,Drawn,2,2,First half,1.6180126409052837,0.7297130633888337
Interception-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Morten Frendrup-Morten Frendrup-Morten Frendrup-Aarón Martín Caricol-Aarón Martín Caricol-Aarón Martín Caricol-Junior Messias,3944960,Genoa,Drawn,2,2,First half,1.6180126409052837,0.7297130633888337
