words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Suat Serdar,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Suat Serdar,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Dribbled Past-Pressure-Foul Committed,Suat Serdar-Paweł Dawidowicz-Paweł Dawidowicz,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Jackson Tchatchoua,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Duel-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,Jackson Tchatchoua-Jackson Tchatchoua-Jackson Tchatchoua-Paweł Dawidowicz-Paweł Dawidowicz-Suat Serdar-Suat Serdar,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt,Suat Serdar-Jackson Tchatchoua,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Ondrej Duda,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Duel,Ondrej Duda,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Duel,Diego Coppola,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Goal Keeper-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Lorenzo Montipò-Tomáš Suslov-Diego Coppola-Diego Coppola-Diego Coppola-Amin Sarr,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Duel,Suat Serdar,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Block,Suat Serdar,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Shot,Ondrej Duda-Diego Coppola-Diego Coppola-Diego Coppola-Amin Sarr-Amin Sarr-Casper Tengstedt-Casper Tengstedt-Casper Tengstedt,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Recovery-Carry,Amin Sarr-Amin Sarr,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Shot,Amin Sarr-Jackson Tchatchoua-Jackson Tchatchoua-Jackson Tchatchoua-Ondrej Duda-Ondrej Duda-Ondrej Duda-Casper Tengstedt-Casper Tengstedt,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Recovery-Block-Block-Ball Recovery-Carry,Casper Tengstedt-Domagoj Bradarić-Casper Tengstedt-Casper Tengstedt-Casper Tengstedt,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Carry,Casper Tengstedt-Daniele Ghilardi-Daniele Ghilardi,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Duel,Daniele Ghilardi-Suat Serdar,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Duel,Suat Serdar,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Recovery-Carry-Pass-Pressure-Ball Receipt,Ondrej Duda-Ondrej Duda-Ondrej Duda-Domagoj Bradarić-Domagoj Bradarić,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Block,Domagoj Bradarić,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass,Domagoj Bradarić,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Recovery,Paweł Dawidowicz,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Lorenzo Montipò-Diego Coppola-Diego Coppola-Diego Coppola-Daniele Ghilardi-Daniele Ghilardi-Daniele Ghilardi-Diego Coppola-Diego Coppola,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt,Diego Coppola-Casper Tengstedt,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Duel,Casper Tengstedt,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Ondrej Duda-Ondrej Duda-Ondrej Duda-Paweł Dawidowicz-Paweł Dawidowicz-Paweł Dawidowicz-Jackson Tchatchoua-Jackson Tchatchoua-Jackson Tchatchoua-Suat Serdar,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Amin Sarr-Amin Sarr-Amin Sarr-Jackson Tchatchoua-Jackson Tchatchoua,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Jackson Tchatchoua-Paweł Dawidowicz-Paweł Dawidowicz-Paweł Dawidowicz-Jackson Tchatchoua,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Tomáš Suslov,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Suat Serdar,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Ondrej Duda,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Duel-Ball Recovery-Carry-Pass-Ball Receipt,Ondrej Duda-Tomáš Suslov-Tomáš Suslov-Tomáš Suslov-Casper Tengstedt,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Tomáš Suslov,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Recovery-Carry,Ondrej Duda-Ondrej Duda,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Carry,Ondrej Duda-Paweł Dawidowicz-Paweł Dawidowicz,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Dribble-Carry,Paweł Dawidowicz-Paweł Dawidowicz,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Carry,Paweł Dawidowicz-Ondrej Duda-Ondrej Duda,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Duel,Ondrej Duda-Diego Coppola-Diego Coppola-Diego Coppola-Lorenzo Montipò-Lorenzo Montipò-Domagoj Bradarić-Domagoj Bradarić,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Diego Coppola,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Interception,Daniele Ghilardi,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Daniele Ghilardi,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Block-50/50,Tomáš Suslov-Tomáš Suslov,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt,Domagoj Bradarić-Tomáš Suslov,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Clearance-Pass-Ball Receipt-Carry,Paweł Dawidowicz-Ondrej Duda-Suat Serdar-Suat Serdar,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Dispossessed,Suat Serdar,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Daniele Ghilardi,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Block,Daniele Ghilardi,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Recovery-Carry-Pass,Domagoj Bradarić-Domagoj Bradarić-Domagoj Bradarić,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Pass,Domagoj Bradarić-Lorenzo Montipò-Lorenzo Montipò,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Receipt-Miscontrol,Amin Sarr-Amin Sarr,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Tomáš Suslov,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Casper Tengstedt,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Recovery-Carry,Domagoj Bradarić-Domagoj Bradarić,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Foul Won-Pass-Ball Receipt,Domagoj Bradarić-Lorenzo Montipò-Amin Sarr,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Tomáš Suslov,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Suat Serdar,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass,Diego Coppola,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Receipt,Tomáš Suslov,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Suat Serdar,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Tomáš Suslov,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Duel-Carry-Pass-Ball Receipt-Pass-Ball Receipt,Tomáš Suslov-Tomáš Suslov-Tomáš Suslov-Domagoj Bradarić-Domagoj Bradarić-Ondrej Duda,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Block,Daniele Ghilardi,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Recovery,Daniele Ghilardi,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Goal Keeper-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,Lorenzo Montipò-Lorenzo Montipò-Diego Coppola-Diego Coppola-Diego Coppola-Paweł Dawidowicz-Paweł Dawidowicz-Paweł Dawidowicz-Jackson Tchatchoua-Jackson Tchatchoua-Jackson Tchatchoua-Paweł Dawidowicz-Paweł Dawidowicz-Paweł Dawidowicz-Diego Coppola-Diego Coppola-Diego Coppola-Daniele Ghilardi-Daniele Ghilardi-Domagoj Bradarić-Domagoj Bradarić-Amin Sarr,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Foul Won-Pass-Ball Receipt-Carry,Amin Sarr-Ondrej Duda-Daniele Ghilardi-Daniele Ghilardi,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Carry,Daniele Ghilardi-Domagoj Bradarić-Domagoj Bradarić,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Domagoj Bradarić-Casper Tengstedt-Casper Tengstedt-Casper Tengstedt-Ondrej Duda-Ondrej Duda-Ondrej Duda-Tomáš Suslov-Tomáš Suslov-Tomáš Suslov,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Receipt-Carry-Dispossessed,Amin Sarr-Amin Sarr-Amin Sarr,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Block,Paweł Dawidowicz,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass,Jackson Tchatchoua,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Receipt-Pass,Ondrej Duda-Ondrej Duda,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Receipt-Pass-Ball Receipt,Jackson Tchatchoua-Jackson Tchatchoua-Paweł Dawidowicz,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass,Jackson Tchatchoua,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Receipt-Carry,Casper Tengstedt-Casper Tengstedt,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt,Casper Tengstedt-Jackson Tchatchoua,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt,Ondrej Duda-Amin Sarr,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Dribbled Past,Tomáš Suslov,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Block-Pass-Ball Receipt,Daniele Ghilardi-Daniele Ghilardi-Tomáš Suslov,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Clearance,Jackson Tchatchoua,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Clearance,Daniele Ghilardi,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Jackson Tchatchoua,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Duel,Jackson Tchatchoua,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Amin Sarr,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Amin Sarr,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Foul Committed,Amin Sarr,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Suat Serdar,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt,Lorenzo Montipò-Lorenzo Montipò-Amin Sarr-Amin Sarr-Jackson Tchatchoua,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Duel,Casper Tengstedt,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Foul Committed,Casper Tengstedt,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Amin Sarr,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Ondrej Duda,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Interception,Diego Coppola,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Duel,Paweł Dawidowicz-Amin Sarr-Amin Sarr,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Suat Serdar,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Recovery-Carry-Pass-Ball Receipt,Tomáš Suslov-Tomáš Suslov-Tomáš Suslov-Ondrej Duda,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Daniele Ghilardi,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Diego Coppola,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Block,Diego Coppola,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Goal Keeper-Pass-Ball Receipt-Duel,Lorenzo Montipò-Lorenzo Montipò-Amin Sarr-Amin Sarr,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Recovery-Carry-Dispossessed,Tomáš Suslov-Tomáš Suslov-Tomáš Suslov,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Suat Serdar,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Carry,Paweł Dawidowicz-Tomáš Suslov-Tomáš Suslov,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Foul Won-Pass-Ball Receipt-Carry,Tomáš Suslov-Tomáš Suslov-Domagoj Bradarić-Domagoj Bradarić,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Pass,Domagoj Bradarić-Diego Coppola-Diego Coppola,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Paweł Dawidowicz,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Domagoj Bradarić,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Goal Keeper-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Lorenzo Montipò-Amin Sarr-Ondrej Duda-Ondrej Duda-Ondrej Duda-Tomáš Suslov-Tomáš Suslov-Tomáš Suslov-Diego Coppola-Diego Coppola-Diego Coppola-Paweł Dawidowicz-Paweł Dawidowicz-Paweł Dawidowicz-Diego Coppola-Diego Coppola-Diego Coppola-Daniele Ghilardi-Daniele Ghilardi-Daniele Ghilardi-Domagoj Bradarić-Domagoj Bradarić,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Miscontrol,Domagoj Bradarić,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Daniele Ghilardi-Diego Coppola-Diego Coppola-Diego Coppola-Paweł Dawidowicz-Paweł Dawidowicz,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Duel,Paweł Dawidowicz-Casper Tengstedt-Casper Tengstedt,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Recovery-Carry,Ondrej Duda-Ondrej Duda,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Carry-Pass,Ondrej Duda-Jackson Tchatchoua-Jackson Tchatchoua-Jackson Tchatchoua,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Ondrej Duda,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Diego Coppola,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Domagoj Bradarić,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Block,Domagoj Bradarić,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Ondrej Duda,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Block-Goal Keeper,Diego Coppola-Lorenzo Montipò,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Tomáš Suslov,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Amin Sarr,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt,Jackson Tchatchoua-Tomáš Suslov,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Amin Sarr,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Duel-Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Amin Sarr-Paweł Dawidowicz-Paweł Dawidowicz-Paweł Dawidowicz-Tomáš Suslov-Tomáš Suslov-Suat Serdar-Suat Serdar-Suat Serdar-Domagoj Bradarić-Domagoj Bradarić,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Domagoj Bradarić-Suat Serdar-Suat Serdar-Suat Serdar-Diego Coppola-Diego Coppola-Diego Coppola-Paweł Dawidowicz-Paweł Dawidowicz-Paweł Dawidowicz,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Receipt-Carry-Pass-Ball Receipt,Jackson Tchatchoua-Jackson Tchatchoua-Jackson Tchatchoua-Paweł Dawidowicz,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Foul Committed,Paweł Dawidowicz,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Injury Stoppage,Paweł Dawidowicz,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Clearance,Suat Serdar,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Domagoj Bradarić,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Jackson Tchatchoua,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Block,Domagoj Bradarić,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Recovery-Carry,Domagoj Bradarić-Domagoj Bradarić,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,Domagoj Bradarić-Jackson Tchatchoua-Jackson Tchatchoua-Amin Sarr-Amin Sarr-Casper Tengstedt,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure-Foul Committed,Amin Sarr-Amin Sarr,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Block-Pass-Ball Receipt-Pass-Ball Receipt-Carry,Diego Coppola-Suat Serdar-Ondrej Duda-Ondrej Duda-Daniele Ghilardi-Daniele Ghilardi,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass,Daniele Ghilardi,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Receipt-Pass,Lorenzo Montipò-Lorenzo Montipò,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Receipt-Carry,Amin Sarr-Amin Sarr,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Carry,Amin Sarr-Tomáš Suslov-Tomáš Suslov,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Dispossessed,Tomáš Suslov,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Domagoj Bradarić,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Amin Sarr,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Domagoj Bradarić,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Ondrej Duda,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Jackson Tchatchoua,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Duel,Jackson Tchatchoua,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Clearance,Suat Serdar,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Clearance-Clearance,Domagoj Bradarić-Domagoj Bradarić,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Ondrej Duda,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Tomáš Suslov,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,Lorenzo Montipò-Diego Coppola-Diego Coppola-Paweł Dawidowicz-Paweł Dawidowicz-Diego Coppola-Diego Coppola-Diego Coppola-Paweł Dawidowicz-Paweł Dawidowicz-Paweł Dawidowicz-Lorenzo Montipò-Lorenzo Montipò-Diego Coppola-Diego Coppola-Diego Coppola-Domagoj Bradarić-Domagoj Bradarić-Casper Tengstedt-Casper Tengstedt-Casper Tengstedt-Suat Serdar-Suat Serdar-Suat Serdar-Jackson Tchatchoua-Jackson Tchatchoua-Jackson Tchatchoua,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass,Diego Coppola,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Ball Receipt,Tomáš Suslov,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Tomáš Suslov,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pressure,Suat Serdar,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Dribbled Past-Pass,Suat Serdar-Diego Coppola,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
Pass,Daniele Ghilardi,3945163,Hellas Verona,Lost,0,3,Second half,1.2028109841706558,0.7840908915365888
