words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Federico Dimarco,3945042,Inter Milan,Drawn,4,4,First half,0.9343239041623472,0.8525209917190764
Pass-Ball Receipt,Alessandro Bastoni-Federico Dimarco,3945042,Inter Milan,Drawn,4,4,First half,0.9343239041623472,0.8525209917190764
Pressure,Piotr Zieliński,3945042,Inter Milan,Drawn,4,4,First half,0.9343239041623472,0.8525209917190764
Pressure,Alessandro Bastoni,3945042,Inter Milan,Drawn,4,4,First half,0.9343239041623472,0.8525209917190764
Clearance,Stefan de Vrij,3945042,Inter Milan,Drawn,4,4,First half,0.9343239041623472,0.8525209917190764
Clearance,Marcus Thuram,3945042,Inter Milan,Drawn,4,4,First half,0.9343239041623472,0.8525209917190764
Pressure,Henrikh Mkhitaryan,3945042,Inter Milan,Drawn,4,4,First half,0.9343239041623472,0.8525209917190764
Pressure,Alessandro Bastoni,3945042,Inter Milan,Drawn,4,4,First half,0.9343239041623472,0.8525209917190764
Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Yann Sommer-Yann Sommer-Benjamin Pavard-Benjamin Pavard-Denzel Dumfries-Denzel Dumfries-Denzel Dumfries-Benjamin Pavard-Benjamin Pavard-Benjamin Pavard-Stefan de Vrij-Stefan de Vrij-Stefan de Vrij-Alessandro Bastoni-Alessandro Bastoni-Alessandro Bastoni-Stefan de Vrij-Stefan de Vrij,3945042,Inter Milan,Drawn,4,4,First half,0.9343239041623472,0.8525209917190764
Pass-Ball Receipt-Carry-Pass,Stefan de Vrij-Denzel Dumfries-Denzel Dumfries-Denzel Dumfries,3945042,Inter Milan,Drawn,4,4,First half,0.9343239041623472,0.8525209917190764
Ball Receipt,Marcus Thuram,3945042,Inter Milan,Drawn,4,4,First half,0.9343239041623472,0.8525209917190764
Foul Won-Injury Stoppage,Marcus Thuram-Yann Sommer,3945042,Inter Milan,Drawn,4,4,First half,0.9343239041623472,0.8525209917190764
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Nicolò Barella-Benjamin Pavard-Benjamin Pavard-Benjamin Pavard-Nicolò Barella-Nicolò Barella,3945042,Inter Milan,Drawn,4,4,First half,0.9343239041623472,0.8525209917190764
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Nicolò Barella-Benjamin Pavard-Benjamin Pavard-Benjamin Pavard-Stefan de Vrij-Stefan de Vrij-Stefan de Vrij-Piotr Zieliński-Piotr Zieliński-Piotr Zieliński-Benjamin Pavard-Benjamin Pavard-Benjamin Pavard-Denzel Dumfries-Denzel Dumfries-Denzel Dumfries-Benjamin Pavard-Benjamin Pavard,3945042,Inter Milan,Drawn,4,4,First half,0.9343239041623472,0.8525209917190764
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Benjamin Pavard-Piotr Zieliński-Piotr Zieliński-Piotr Zieliński-Benjamin Pavard-Benjamin Pavard-Benjamin Pavard-Piotr Zieliński-Piotr Zieliński-Piotr Zieliński-Henrikh Mkhitaryan-Henrikh Mkhitaryan-Henrikh Mkhitaryan-Piotr Zieliński-Piotr Zieliński-Piotr Zieliński-Stefan de Vrij-Stefan de Vrij-Stefan de Vrij-Alessandro Bastoni-Alessandro Bastoni-Alessandro Bastoni-Henrikh Mkhitaryan-Henrikh Mkhitaryan-Henrikh Mkhitaryan-Piotr Zieliński-Piotr Zieliński-Piotr Zieliński-Benjamin Pavard-Benjamin Pavard-Benjamin Pavard-Denzel Dumfries-Denzel Dumfries-Denzel Dumfries-Marcus Thuram-Marcus Thuram,3945042,Inter Milan,Drawn,4,4,First half,0.9343239041623472,0.8525209917190764
Pass-Ball Receipt-Carry-Pass,Marcus Thuram-Denzel Dumfries-Denzel Dumfries-Denzel Dumfries,3945042,Inter Milan,Drawn,4,4,First half,0.9343239041623472,0.8525209917190764
Pass,Denzel Dumfries,3945042,Inter Milan,Drawn,4,4,First half,0.9343239041623472,0.8525209917190764
Pressure,Stefan de Vrij,3945042,Inter Milan,Drawn,4,4,First half,0.9343239041623472,0.8525209917190764
