words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Nicolás Iván González,3945139,Juventus,Drawn,1,1,First half,1.019333898523888,0.8114771614907865
Interception,Andrea Cambiaso,3945139,Juventus,Drawn,1,1,First half,1.019333898523888,0.8114771614907865
Interception-Pressure,Pierre Kalulu Kyatengwa-Andrea Cambiaso,3945139,Juventus,Drawn,1,1,First half,1.019333898523888,0.8114771614907865
Pressure,Teun Koopmeiners,3945139,Juventus,Drawn,1,1,First half,1.019333898523888,0.8114771614907865
Pressure,Nicolò Savona,3945139,Juventus,Drawn,1,1,First half,1.019333898523888,0.8114771614907865
Pressure-Pressure,Manuel Locatelli-Teun Koopmeiners,3945139,Juventus,Drawn,1,1,First half,1.019333898523888,0.8114771614907865
Pressure,Weston McKennie,3945139,Juventus,Drawn,1,1,First half,1.019333898523888,0.8114771614907865
Pressure,Andrea Cambiaso,3945139,Juventus,Drawn,1,1,First half,1.019333898523888,0.8114771614907865
Pressure,Weston McKennie,3945139,Juventus,Drawn,1,1,First half,1.019333898523888,0.8114771614907865
Pressure,Khéphren Thuram-Ulien,3945139,Juventus,Drawn,1,1,First half,1.019333898523888,0.8114771614907865
Ball Recovery-Carry,Pierre Kalulu Kyatengwa-Pierre Kalulu Kyatengwa,3945139,Juventus,Drawn,1,1,First half,1.019333898523888,0.8114771614907865
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Pierre Kalulu Kyatengwa-Nicolò Savona-Nicolò Savona-Nicolò Savona-Pierre Kalulu Kyatengwa-Pierre Kalulu Kyatengwa-Pierre Kalulu Kyatengwa,3945139,Juventus,Drawn,1,1,First half,1.019333898523888,0.8114771614907865
Ball Recovery-Carry,Kenan Yildiz-Kenan Yildiz,3945139,Juventus,Drawn,1,1,First half,1.019333898523888,0.8114771614907865
Dispossessed,Kenan Yildiz,3945139,Juventus,Drawn,1,1,First half,1.019333898523888,0.8114771614907865
