words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass,Boulaye Dia-Ivan Provedel-Ivan Provedel-Ivan Provedel,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pressure,Mattéo Guendouzi Olié,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pressure,Boulaye Dia,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pressure,Boulaye Dia,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pass-Ball Receipt-Carry,Mattia Zaccagni-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pass-Ball Receipt-Pass-Ball Receipt-Carry,Mattéo Guendouzi Olié-Gustav Tang Isaksen-Gustav Tang Isaksen-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Dispossessed,Mattéo Guendouzi Olié,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pressure,Gustav Tang Isaksen,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,Mario Gila Fuentes-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Valentín Mariano José Castellanos Giménez-Valentín Mariano José Castellanos Giménez,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pass,Mattia Zaccagni,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Ball Receipt-Carry,Boulaye Dia-Boulaye Dia,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pass,Boulaye Dia,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Ball Receipt-Carry-Pass-Pressure,Mattia Zaccagni-Mattia Zaccagni-Mattia Zaccagni-Boulaye Dia,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pass,Mattia Zaccagni,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Ball Recovery-Carry-Pass,Manuel Lazzari-Manuel Lazzari-Manuel Lazzari,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Block,Manuel Lazzari,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pressure,Valentín Mariano José Castellanos Giménez,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pressure,Gustav Tang Isaksen,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pressure,Boulaye Dia,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pressure,Mattia Zaccagni,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pressure,Nicolò Rovella,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pressure-Foul Committed,Boulaye Dia-Boulaye Dia,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pressure,Valentín Mariano José Castellanos Giménez,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pass,Alessio Romagnoli,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Ball Receipt-Carry,Nuno Albertino Varela Tavares-Nuno Albertino Varela Tavares,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Foul Won-Pass-Ball Receipt,Nuno Albertino Varela Tavares-Nicolò Rovella-Ivan Provedel,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pass-Ball Receipt,Ivan Provedel-Gustav Tang Isaksen,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pressure,Manuel Lazzari,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Block,Manuel Lazzari,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pass-Pass-Ball Receipt-Ball Receipt-Duel,Alessio Romagnoli-Ivan Provedel-Ivan Provedel-Mattia Zaccagni-Mattia Zaccagni,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Nuno Albertino Varela Tavares-Alessio Romagnoli-Alessio Romagnoli-Alessio Romagnoli-Ivan Provedel-Ivan Provedel-Ivan Provedel-Manuel Lazzari-Manuel Lazzari-Manuel Lazzari,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pressure,Mattia Zaccagni,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pressure,Mario Gila Fuentes,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Gustav Tang Isaksen-Gustav Tang Isaksen-Gustav Tang Isaksen-Nicolò Rovella-Nicolò Rovella-Nicolò Rovella-Manuel Lazzari-Manuel Lazzari,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pass-Ball Receipt-Carry,Manuel Lazzari-Nicolò Rovella-Nicolò Rovella,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Shot,Nicolò Rovella-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Nuno Albertino Varela Tavares-Nuno Albertino Varela Tavares-Nuno Albertino Varela Tavares-Mattia Zaccagni-Mattia Zaccagni-Mattia Zaccagni-Alessio Romagnoli-Alessio Romagnoli-Alessio Romagnoli-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Manuel Lazzari-Manuel Lazzari-Manuel Lazzari-Mattia Zaccagni-Mattia Zaccagni,3945025,Lazio,Won,2,1,First half,1.1673806893010985,0.7847894912100047
