words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Nikola Krstović-Balthazar Pierret-Balthazar Pierret-Balthazar Pierret-Santiago Pierotti,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Pressure,Balthazar Pierret,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Duel-Ball Recovery-Carry,Balthazar Pierret-Nikola Krstović-Nikola Krstović,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Shot,Nikola Krstović,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Pressure,José Antonio Morente Oliva,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Pressure,Balthazar Pierret,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Gaby Jean-Gaby Jean-Gaby Jean-Hamza Rafia-Hamza Rafia,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Pass-Ball Receipt-Carry,Hamza Rafia-Antonino Gallo-Antonino Gallo,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Pass,Antonino Gallo,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Ball Receipt-Carry,José Antonio Morente Oliva-José Antonio Morente Oliva,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Pass-Ball Receipt,José Antonio Morente Oliva-Antonino Gallo,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Pass-Ball Receipt,Antonino Gallo-Hamza Rafia,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Pass-Ball Receipt-Carry,Hamza Rafia-Nikola Krstović-Nikola Krstović,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Nikola Krstović-Hamza Rafia-Hamza Rafia-Hamza Rafia-José Antonio Morente Oliva-José Antonio Morente Oliva-José Antonio Morente Oliva-Antonino Gallo-Antonino Gallo-Antonino Gallo,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Pass-Ball Receipt,Federico Baschirotto-Antonino Gallo,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Pressure-Pressure,Antonino Gallo-José Antonio Morente Oliva,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Pressure,Antonino Gallo,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Pressure,Patrick Chinazaekpere Dorgu,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Pass,Patrick Chinazaekpere Dorgu,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Ball Receipt-Carry-Miscontrol-Pressure,Santiago Pierotti-Santiago Pierotti-Santiago Pierotti-Santiago Pierotti,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Pressure,Lassana Coulibaly,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Pressure,José Antonio Morente Oliva,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Pressure,Balthazar Pierret,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Pressure,Lassana Coulibaly,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
Pass-Ball Receipt-Carry,Federico Baschirotto-Wladimiro Falcone-Wladimiro Falcone,3945131,Lecce,Lost,0,2,First half,1.2125823158195794,0.7485583525141156
