words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Gaetano Castrovilli,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Alessandro Bianco,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Samuele Birindelli,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Interception-Carry,Dany Mota Carvalho-Dany Mota Carvalho,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pass,Dany Mota Carvalho,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Samuele Birindelli-Samuele Birindelli-Samuele Birindelli-Dany Mota Carvalho-Dany Mota Carvalho,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Dispossessed,Dany Mota Carvalho,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Alessandro Bianco,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Jean-Daniel Akpa Akpro,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Gaetano Castrovilli,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Samuele Birindelli,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Jean-Daniel Akpa Akpro,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Pedro Miguel Almeida Lopes Pereira,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pass-Ball Receipt,Luca Caldirola-Stefano Turati,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,Stefano Turati-Alessandro Bianco-Alessandro Bianco-Luca Caldirola-Luca Caldirola-Luca Caldirola,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Gianluca Caprari,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Pedro Miguel Almeida Lopes Pereira-Alessandro Bianco-Alessandro Bianco-Alessandro Bianco-Samuele Birindelli-Samuele Birindelli-Samuele Birindelli-Stefano Turati-Stefano Turati,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pass-Ball Receipt-Duel,Stefano Turati-Dany Mota Carvalho-Dany Mota Carvalho,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Ball Recovery-Carry-Pass,Gaetano Castrovilli-Gaetano Castrovilli-Gaetano Castrovilli,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Ball Receipt-Carry-Dispossessed,Gianluca Caprari-Gianluca Caprari-Gianluca Caprari,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Jean-Daniel Akpa Akpro,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Jean-Daniel Akpa Akpro,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,Stefano Turati-Pedro Miguel Almeida Lopes Pereira-Pedro Miguel Almeida Lopes Pereira-Pedro Miguel Almeida Lopes Pereira-Alessandro Bianco-Alessandro Bianco-Alessandro Bianco-Luca Caldirola-Luca Caldirola-Luca Caldirola-Alessandro Bianco-Alessandro Bianco-Alessandro Bianco-Luca Caldirola-Luca Caldirola-Luca Caldirola-Andrea Carboni-Andrea Carboni,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Ball Receipt,Dany Mota Carvalho,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Ball Recovery-Carry,Gianluca Caprari-Gianluca Caprari,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Gianluca Caprari-Pedro Miguel Almeida Lopes Pereira-Pedro Miguel Almeida Lopes Pereira-Pedro Miguel Almeida Lopes Pereira-Samuele Birindelli-Samuele Birindelli-Samuele Birindelli-Alessandro Bianco-Alessandro Bianco-Andrea Carboni-Andrea Carboni-Andrea Carboni-Giorgos Kiriakopoulos-Giorgos Kiriakopoulos-Giorgos Kiriakopoulos-Andrea Carboni-Andrea Carboni-Andrea Carboni,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Ball Receipt-Shot,Dany Mota Carvalho-Dany Mota Carvalho,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Ball Recovery,Jean-Daniel Akpa Akpro,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Dribble-Carry,Jean-Daniel Akpa Akpro-Jean-Daniel Akpa Akpro,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Dribble,Jean-Daniel Akpa Akpro,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Gianluca Caprari,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Samuele Birindelli,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Dany Mota Carvalho,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Dany Mota Carvalho,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure-Pressure-Foul Committed,Pedro Miguel Almeida Lopes Pereira-Samuele Birindelli-Samuele Birindelli,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Alessandro Bianco,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Clearance,Andrea Carboni,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Duel,Gaetano Castrovilli,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Samuele Birindelli,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Goal Keeper,Stefano Turati,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Clearance-Pressure,Alessandro Bianco-Gianluca Caprari,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Dany Mota Carvalho,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Luca Caldirola,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Duel-Ball Recovery-Carry,Luca Caldirola-Gaetano Castrovilli-Gaetano Castrovilli,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pass,Gaetano Castrovilli,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Gaetano Castrovilli,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Alessandro Bianco,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Luca Caldirola,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Jean-Daniel Akpa Akpro,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Block,Jean-Daniel Akpa Akpro,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pass-Ball Receipt-Carry,Gaetano Castrovilli-Gianluca Caprari-Gianluca Caprari,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pass-Ball Receipt-Carry-Miscontrol-Ball Recovery-Carry,Gianluca Caprari-Jean-Daniel Akpa Akpro-Jean-Daniel Akpa Akpro-Jean-Daniel Akpa Akpro-Gaetano Castrovilli-Gaetano Castrovilli,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pass-Ball Receipt-Carry,Gaetano Castrovilli-Jean-Daniel Akpa Akpro-Jean-Daniel Akpa Akpro,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Dribble,Jean-Daniel Akpa Akpro,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pass-Ball Receipt,Pedro Miguel Almeida Lopes Pereira-Dany Mota Carvalho,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Jean-Daniel Akpa Akpro,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Pedro Miguel Almeida Lopes Pereira,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Gaetano Castrovilli,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Duel,Gaetano Castrovilli,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Foul Won-Ball Recovery-Carry,Gaetano Castrovilli-Samuele Birindelli-Samuele Birindelli,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Shot,Samuele Birindelli,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Injury Stoppage,Gaetano Castrovilli,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Referee Ball-Drop,Unknown,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Stefano Turati-Stefano Turati-Stefano Turati-Andrea Carboni-Andrea Carboni-Andrea Carboni-Luca Caldirola-Luca Caldirola,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pass-Ball Receipt-Pass-Ball Receipt,Luca Caldirola-Samuele Birindelli-Samuele Birindelli-Pedro Miguel Almeida Lopes Pereira,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Alessandro Bianco-Alessandro Bianco-Alessandro Bianco-Andrea Carboni-Andrea Carboni,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pass,Andrea Carboni,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Stefano Turati-Stefano Turati-Stefano Turati-Pedro Miguel Almeida Lopes Pereira-Pedro Miguel Almeida Lopes Pereira-Pedro Miguel Almeida Lopes Pereira,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Ball Receipt-Carry-Dispossessed,Gaetano Castrovilli-Gaetano Castrovilli-Gaetano Castrovilli,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
Pressure,Gaetano Castrovilli,3945294,Monza,Lost,0,2,Second half,0.8486517672398409,0.8583889692933697
