words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Matteo Politano,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Pressure,André-Frank Zambo Anguissa,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Pass-Ball Receipt-Miscontrol-Pressure,Amir Rrahmani-Romelu Lukaku Menama-Romelu Lukaku Menama-Romelu Lukaku Menama,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Pressure,Scott McTominay,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Duel,André-Frank Zambo Anguissa,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Block,André-Frank Zambo Anguissa,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Pressure,Amir Rrahmani,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Pressure,André-Frank Zambo Anguissa,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,Alex Meret-Amir Rrahmani-Amir Rrahmani-Giovanni Di Lorenzo-Giovanni Di Lorenzo-Giovanni Di Lorenzo,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Giacomo Raspadori-Giacomo Raspadori-Giacomo Raspadori-Leonardo Spinazzola-Leonardo Spinazzola-Leonardo Spinazzola,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Billy Gilmour-Billy Gilmour-Billy Gilmour-Mathías Olivera Miramontes-Mathías Olivera Miramontes-Mathías Olivera Miramontes-Billy Gilmour-Billy Gilmour-Billy Gilmour-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-Amir Rrahmani-Amir Rrahmani,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Amir Rrahmani-Matteo Politano-Matteo Politano-Matteo Politano-Giovanni Di Lorenzo-Giovanni Di Lorenzo,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Pass-Ball Receipt-Carry,Giovanni Di Lorenzo-Matteo Politano-Matteo Politano,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Pass-Ball Receipt,Matteo Politano-Romelu Lukaku Menama,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Pass-Duel,Matteo Politano-André-Frank Zambo Anguissa,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Ball Recovery-Carry,Billy Gilmour-Billy Gilmour,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Billy Gilmour-Leonardo Spinazzola-Leonardo Spinazzola-Leonardo Spinazzola-Giacomo Raspadori-Giacomo Raspadori-Giacomo Raspadori-Scott McTominay-Scott McTominay,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Pass,Scott McTominay,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Ball Receipt-Shot,Romelu Lukaku Menama-Romelu Lukaku Menama,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Pressure,Mathías Olivera Miramontes,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Duel-Carry,Mathías Olivera Miramontes-Mathías Olivera Miramontes,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Foul Won-Pass,Mathías Olivera Miramontes-Giacomo Raspadori,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Ball Recovery-Carry,Matteo Politano-Matteo Politano,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Pass,Matteo Politano,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Pass,Matteo Politano,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Pressure,Amir Rrahmani,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Ball Recovery-Carry,Giacomo Raspadori-Giacomo Raspadori,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Shot,Giacomo Raspadori,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Pass,André-Frank Zambo Anguissa,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Ball Receipt-Carry,Billy Gilmour-Billy Gilmour,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Pass-Ball Receipt-Carry,Billy Gilmour-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,André-Frank Zambo Anguissa-Amir Rrahmani-Billy Gilmour-Billy Gilmour-Billy Gilmour-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-Mathías Olivera Miramontes-Mathías Olivera Miramontes-Mathías Olivera Miramontes-Leonardo Spinazzola-Leonardo Spinazzola-Leonardo Spinazzola-Romelu Lukaku Menama-Romelu Lukaku Menama-Romelu Lukaku Menama,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Giacomo Raspadori-Giacomo Raspadori-Matteo Politano-Matteo Politano-Matteo Politano-Giacomo Raspadori-Giacomo Raspadori-Giacomo Raspadori-Scott McTominay-Scott McTominay,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Dispossessed,Scott McTominay,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
Pressure-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Mathías Olivera Miramontes-Leonardo Spinazzola-Billy Gilmour-Billy Gilmour-Billy Gilmour-Mathías Olivera Miramontes-Mathías Olivera Miramontes-Mathías Olivera Miramontes-Alex Meret-Alex Meret-Alex Meret-Amir Rrahmani-Amir Rrahmani-Amir Rrahmani-Billy Gilmour-Billy Gilmour-Billy Gilmour-Mathías Olivera Miramontes-Mathías Olivera Miramontes-Mathías Olivera Miramontes-Leonardo Spinazzola-Leonardo Spinazzola-Leonardo Spinazzola-Scott McTominay-Scott McTominay,3945336,Napoli,Won,2,0,Second half,1.2289528637985652,0.7932771789127525
