words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,Mandela Keita-Ange-Yoan Bonny-Ange-Yoan Bonny-Ange-Yoan Bonny-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pressure,Emanuele Valeri,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pressure,Hernani Azevedo Júnior,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Ball Recovery-Carry-Dispossessed,Valentin Mihai Mihăilă-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pressure,Lautaro Rodrigo Valenti,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Foul Committed,Lautaro Rodrigo Valenti,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pressure,Pontus Almqvist,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Duel-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Pontus Almqvist-Pontus Almqvist-Pontus Almqvist-Simon Sohm-Simon Sohm-Simon Sohm-Ange-Yoan Bonny-Ange-Yoan Bonny,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Ange-Yoan Bonny-Simon Sohm-Simon Sohm-Simon Sohm-Mandela Keita-Mandela Keita-Mandela Keita-Simon Sohm-Simon Sohm-Simon Sohm-Enrico Del Prato-Enrico Del Prato-Enrico Del Prato-Botond Balogh-Botond Balogh-Botond Balogh-Lautaro Rodrigo Valenti-Lautaro Rodrigo Valenti-Lautaro Rodrigo Valenti-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă-Ange-Yoan Bonny,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pass,Valentin Mihai Mihăilă,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Ball Receipt,Ange-Yoan Bonny,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Dispossessed,Ange-Yoan Bonny,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Emanuele Valeri-Hernani Azevedo Júnior-Hernani Azevedo Júnior-Hernani Azevedo Júnior-Botond Balogh-Botond Balogh-Botond Balogh-Enrico Del Prato-Enrico Del Prato-Enrico Del Prato-Pontus Almqvist-Pontus Almqvist,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Pontus Almqvist-Enrico Del Prato-Enrico Del Prato-Enrico Del Prato-Botond Balogh-Botond Balogh-Botond Balogh-Lautaro Rodrigo Valenti-Lautaro Rodrigo Valenti-Lautaro Rodrigo Valenti-Emanuele Valeri-Emanuele Valeri-Emanuele Valeri,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Valentin Mihai Mihăilă-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă-Emanuele Valeri-Emanuele Valeri-Emanuele Valeri,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pressure,Emanuele Valeri,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Block-Ball Recovery-Carry-Pass-Ball Receipt,Hernani Azevedo Júnior-Hernani Azevedo Júnior-Hernani Azevedo Júnior-Hernani Azevedo Júnior-Simon Sohm,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pressure,Hernani Azevedo Júnior,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pressure-Pressure,Lautaro Rodrigo Valenti-Emanuele Valeri,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Ball Recovery-Carry,Lautaro Rodrigo Valenti-Lautaro Rodrigo Valenti,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Dispossessed,Lautaro Rodrigo Valenti,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Goal Keeper,Zion Suzuki,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Ball Recovery-Carry,Ange-Yoan Bonny-Ange-Yoan Bonny,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pass-Ball Receipt-Carry,Ange-Yoan Bonny-Mandela Keita-Mandela Keita,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Mandela Keita-Lautaro Rodrigo Valenti-Zion Suzuki-Zion Suzuki-Zion Suzuki-Botond Balogh-Botond Balogh-Botond Balogh-Mandela Keita-Mandela Keita,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pass-Pressure-Ball Receipt,Mandela Keita-Enrico Del Prato-Enrico Del Prato,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Duel,Enrico Del Prato,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass,Mandela Keita-Mandela Keita-Mandela Keita-Botond Balogh-Botond Balogh-Botond Balogh,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pass-Duel,Enrico Del Prato-Ange-Yoan Bonny,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pass-Ball Receipt,Enrico Del Prato-Simon Sohm,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pass,Simon Sohm,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pass-Ball Receipt,Hernani Azevedo Júnior-Enrico Del Prato,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pass-Ball Receipt-Pass,Enrico Del Prato-Simon Sohm-Simon Sohm,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pressure,Ange-Yoan Bonny,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pressure,Pontus Almqvist,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pressure,Emanuele Valeri,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pressure,Lautaro Rodrigo Valenti,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Block,Lautaro Rodrigo Valenti,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pressure-Pressure-Pressure-Foul Committed,Lautaro Rodrigo Valenti-Simon Sohm-Mandela Keita-Mandela Keita,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Bad Behaviour,Lautaro Rodrigo Valenti,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pressure,Botond Balogh,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pressure-Foul Committed,Mandela Keita-Mandela Keita,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Clearance,Ange-Yoan Bonny,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Block-Goal Keeper-Ball Recovery-Carry,Ange-Yoan Bonny-Zion Suzuki-Hernani Azevedo Júnior-Hernani Azevedo Júnior,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pass,Hernani Azevedo Júnior,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Block-Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Enrico Del Prato-Zion Suzuki-Zion Suzuki-Zion Suzuki-Botond Balogh-Botond Balogh-Botond Balogh-Enrico Del Prato-Enrico Del Prato-Enrico Del Prato-Pontus Almqvist-Pontus Almqvist,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Dispossessed,Pontus Almqvist,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Ball Recovery-Carry-Dribble,Pontus Almqvist-Pontus Almqvist-Pontus Almqvist,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
Pressure,Simon Sohm,3945150,Parma Calcio 1913,Lost,0,1,Second half,1.7644995810293782,0.7024762204820761
