words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Cristiano Biraghi-Adam Masina-Adam Masina-Adam Masina-Vanja Milinković Savić-Vanja Milinković Savić,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Vanja Milinković Savić-Guillermo Alfonso Maripán Loaysa-Guillermo Alfonso Maripán Loaysa-Guillermo Alfonso Maripán Loaysa-Ali Dembélé-Ali Dembélé-Ali Dembélé-Nikola Vlašić-Nikola Vlašić-Nikola Vlašić,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Ball Recovery-Pass-Ball Receipt-Pass,Vanja Milinković Savić-Vanja Milinković Savić-Cristiano Biraghi-Cristiano Biraghi,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Ball Receipt-Carry-Dribble,Gvidas Gineitis-Gvidas Gineitis-Gvidas Gineitis,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Cristiano Biraghi-Adam Masina-Adam Masina-Adam Masina-Guillermo Alfonso Maripán Loaysa-Guillermo Alfonso Maripán Loaysa-Guillermo Alfonso Maripán Loaysa-Vanja Milinković Savić-Vanja Milinković Savić-Vanja Milinković Savić-Adam Masina-Adam Masina,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Dribble-Carry,Adam Masina-Adam Masina,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass,Adam Masina,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Ball Receipt-Carry-Pass,Cristiano Biraghi-Cristiano Biraghi-Cristiano Biraghi,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass-Ball Receipt,Cristiano Biraghi-Cesare Casadei,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass,Cesare Casadei,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Ball Receipt-Carry-Dispossessed,Gvidas Gineitis-Gvidas Gineitis-Gvidas Gineitis,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Cristiano Biraghi-Adam Masina-Adam Masina-Adam Masina-Vanja Milinković Savić-Vanja Milinković Savić,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass-Ball Receipt,Vanja Milinković Savić-Valentino Lazaro,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass,Valentino Lazaro,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pressure,Che Adams,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Duel,Che Adams,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Block,Che Adams,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pressure,Gvidas Gineitis,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Foul Committed,Gvidas Gineitis,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pressure,Valentino Lazaro,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pressure-Foul Committed,Cesare Casadei-Cesare Casadei,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pressure,Cristiano Biraghi,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass-Ball Receipt-Carry-Pass,Cristiano Biraghi-Cesare Casadei-Cesare Casadei-Cesare Casadei,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pressure,Adam Masina,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Block-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Adam Masina-Samuele Ricci-Guillermo Alfonso Maripán Loaysa-Guillermo Alfonso Maripán Loaysa-Guillermo Alfonso Maripán Loaysa-Ali Dembélé-Ali Dembélé-Ali Dembélé,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Ball Recovery,Ali Dembélé,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Injury Stoppage-Referee Ball-Drop,Valentino Lazaro-Unknown,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pressure,Adam Masina,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Foul Committed,Cristiano Biraghi,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Adam Masina-Vanja Milinković Savić-Vanja Milinković Savić-Vanja Milinković Savić-Guillermo Alfonso Maripán Loaysa-Guillermo Alfonso Maripán Loaysa,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass,Guillermo Alfonso Maripán Loaysa,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Interception,Guillermo Alfonso Maripán Loaysa,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Ball Recovery-Carry,Ali Dembélé-Ali Dembélé,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Foul Won-Pass-Ball Receipt-Pass,Ali Dembélé-Vanja Milinković Savić-Cesare Casadei-Cesare Casadei,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Injury Stoppage,Cesare Casadei,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Referee Ball-Drop,Unknown,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pressure,Che Adams,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass,Guillermo Alfonso Maripán Loaysa,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pressure,Samuele Ricci,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pressure,Valentino Lazaro,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass,Guillermo Alfonso Maripán Loaysa,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pressure,Gvidas Gineitis,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pressure,Gvidas Gineitis,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Clearance,Samuele Ricci,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Clearance,Samuele Ricci,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Ball Recovery-Carry,Nikola Vlašić-Nikola Vlašić,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Nikola Vlašić-Vanja Milinković Savić-Guillermo Alfonso Maripán Loaysa-Guillermo Alfonso Maripán Loaysa-Guillermo Alfonso Maripán Loaysa-Adam Masina-Adam Masina-Adam Masina-Cristiano Biraghi-Cristiano Biraghi-Cristiano Biraghi,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pressure,Nikola Vlašić,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Interception-Carry,Cesare Casadei-Cesare Casadei,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass,Cesare Casadei,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Nikola Vlašić-Nikola Vlašić-Samuele Ricci-Samuele Ricci-Samuele Ricci-Guillermo Alfonso Maripán Loaysa-Guillermo Alfonso Maripán Loaysa-Guillermo Alfonso Maripán Loaysa-Ali Dembélé-Ali Dembélé,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass-Ball Receipt-Carry-Miscontrol,Ali Dembélé-Gvidas Gineitis-Gvidas Gineitis-Gvidas Gineitis,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass,Adam Masina,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass,Guillermo Alfonso Maripán Loaysa,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Ali Dembélé-Valentino Lazaro-Valentino Lazaro-Valentino Lazaro-Samuele Ricci-Samuele Ricci-Samuele Ricci-Ali Dembélé,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pressure,Nikola Vlašić,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass-Ball Receipt-Carry,Adam Masina-Gvidas Gineitis-Gvidas Gineitis,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Gvidas Gineitis-Cristiano Biraghi-Samuele Ricci-Samuele Ricci-Samuele Ricci-Nikola Vlašić-Nikola Vlašić-Nikola Vlašić-Valentino Lazaro-Valentino Lazaro-Valentino Lazaro-Guillermo Alfonso Maripán Loaysa-Guillermo Alfonso Maripán Loaysa-Guillermo Alfonso Maripán Loaysa-Samuele Ricci-Samuele Ricci-Samuele Ricci-Adam Masina-Adam Masina-Adam Masina,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Ball Receipt-Carry-Pass-Ball Receipt,Cristiano Biraghi-Cristiano Biraghi-Cristiano Biraghi-Gvidas Gineitis,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass,Cristiano Biraghi,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Adam Masina-Guillermo Alfonso Maripán Loaysa-Guillermo Alfonso Maripán Loaysa-Guillermo Alfonso Maripán Loaysa-Adam Masina-Adam Masina-Adam Masina-Che Adams-Che Adams-Che Adams-Cesare Casadei-Cesare Casadei-Cesare Casadei-Valentino Lazaro-Valentino Lazaro-Valentino Lazaro-Nikola Vlašić-Nikola Vlašić-Nikola Vlašić,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Samuele Ricci-Samuele Ricci-Samuele Ricci-Cristiano Biraghi-Cristiano Biraghi-Cristiano Biraghi-Gvidas Gineitis-Gvidas Gineitis,3945325,Torino,Lost,0,1,Second half,1.61195658952878,0.7426863354363866
