words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Florian Thauvin-Jesper Karlström-Jesper Karlström-Jesper Karlström-Jaka Bijol-Jaka Bijol-Jaka Bijol-Jesper Karlström-Jesper Karlström-Jesper Karlström-Oumar Mickael Solet Bomawoko-Oumar Mickael Solet Bomawoko-Oumar Mickael Solet Bomawoko-Hassane Kamara-Hassane Kamara-Hassane Kamara-Oumar Mickael Solet Bomawoko-Oumar Mickael Solet Bomawoko-Oumar Mickael Solet Bomawoko-Jesper Karlström-Jesper Karlström-Jesper Karlström-Oumar Mickael Solet Bomawoko-Oumar Mickael Solet Bomawoko-Oumar Mickael Solet Bomawoko-Jurgen Ekkelenkamp-Jurgen Ekkelenkamp-Jurgen Ekkelenkamp-Jesper Karlström-Jesper Karlström-Jesper Karlström-Oumar Mickael Solet Bomawoko-Oumar Mickael Solet Bomawoko-Oumar Mickael Solet Bomawoko-Jesper Karlström-Jesper Karlström-Jesper Karlström-Arthur Atta-Arthur Atta-Arthur Atta-Jaka Bijol-Jaka Bijol-Jaka Bijol-Sandi Lovric-Sandi Lovric-Sandi Lovric-Jaka Bijol-Jaka Bijol-Jaka Bijol-Lorenzo Lucca,3945228,Udinese,Won,1,0,Second half,1.6291757197489016,0.7240927380787323
Ball Recovery-Carry,Jurgen Ekkelenkamp-Jurgen Ekkelenkamp,3945228,Udinese,Won,1,0,Second half,1.6291757197489016,0.7240927380787323
Dribble,Jurgen Ekkelenkamp,3945228,Udinese,Won,1,0,Second half,1.6291757197489016,0.7240927380787323
Pressure,Oumar Mickael Solet Bomawoko,3945228,Udinese,Won,1,0,Second half,1.6291757197489016,0.7240927380787323
Duel,Oumar Mickael Solet Bomawoko,3945228,Udinese,Won,1,0,Second half,1.6291757197489016,0.7240927380787323
Pressure,Lorenzo Lucca,3945228,Udinese,Won,1,0,Second half,1.6291757197489016,0.7240927380787323
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,Jaka Bijol-Arthur Atta-Arthur Atta-Sandi Lovric-Sandi Lovric-Florian Thauvin,3945228,Udinese,Won,1,0,Second half,1.6291757197489016,0.7240927380787323
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Jaka Bijol-Kingsley Ehizibue-Kingsley Ehizibue-Kingsley Ehizibue-Oumar Mickael Solet Bomawoko-Oumar Mickael Solet Bomawoko-Oumar Mickael Solet Bomawoko-Jesper Karlström-Jesper Karlström-Jesper Karlström,3945228,Udinese,Won,1,0,Second half,1.6291757197489016,0.7240927380787323
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Jurgen Ekkelenkamp-Jurgen Ekkelenkamp-Jurgen Ekkelenkamp-Daniele Padelli-Daniele Padelli-Daniele Padelli-Jesper Karlström-Jesper Karlström-Jesper Karlström-Hassane Kamara,3945228,Udinese,Won,1,0,Second half,1.6291757197489016,0.7240927380787323
Pressure,Hassane Kamara,3945228,Udinese,Won,1,0,Second half,1.6291757197489016,0.7240927380787323
