words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Hans Nicolussi Caviglia-Michael Svoboda-Michael Svoboda-Michael Svoboda-Marin Šverko-Marin Šverko,3945112,Venezia,Drawn,2,2,First half,1.2665695403414943,0.7555700370030941
Dribble-Carry,Marin Šverko-Marin Šverko,3945112,Venezia,Drawn,2,2,First half,1.2665695403414943,0.7555700370030941
Pass-Ball Receipt-Carry-Pass,Marin Šverko-Francesco Zampano-Francesco Zampano-Francesco Zampano,3945112,Venezia,Drawn,2,2,First half,1.2665695403414943,0.7555700370030941
Ball Receipt-Pass,Joel Pohjanpalo-Joel Pohjanpalo,3945112,Venezia,Drawn,2,2,First half,1.2665695403414943,0.7555700370030941
Ball Receipt-Carry-Miscontrol-Pressure,Gaetano Pio Oristanio-Gaetano Pio Oristanio-Gaetano Pio Oristanio-Gaetano Pio Oristanio,3945112,Venezia,Drawn,2,2,First half,1.2665695403414943,0.7555700370030941
Pressure,Mikael Egill Ellertsson,3945112,Venezia,Drawn,2,2,First half,1.2665695403414943,0.7555700370030941
Pressure,Magnus Andersen,3945112,Venezia,Drawn,2,2,First half,1.2665695403414943,0.7555700370030941
Pressure,Magnus Andersen,3945112,Venezia,Drawn,2,2,First half,1.2665695403414943,0.7555700370030941
Clearance,Michael Svoboda,3945112,Venezia,Drawn,2,2,First half,1.2665695403414943,0.7555700370030941
Pressure,Hans Nicolussi Caviglia,3945112,Venezia,Drawn,2,2,First half,1.2665695403414943,0.7555700370030941
Pass-Ball Receipt-Carry-Dribble-Carry,Mikael Egill Ellertsson-Gianluca Busio-Gianluca Busio-Gianluca Busio-Gianluca Busio,3945112,Venezia,Drawn,2,2,First half,1.2665695403414943,0.7555700370030941
Ball Recovery-Carry,Gianluca Busio-Gianluca Busio,3945112,Venezia,Drawn,2,2,First half,1.2665695403414943,0.7555700370030941
Pass-Ball Receipt-Pass,Gianluca Busio-Joel Pohjanpalo-Joel Pohjanpalo,3945112,Venezia,Drawn,2,2,First half,1.2665695403414943,0.7555700370030941
