player_id,player,team_id,team
444,Frederik Rönnow,446,1. FC Union Berlin
495,Leonardo Bonucci,446,1. FC Union Berlin
732,Kevin Volland,446,1. FC Union Berlin
977,Robin Knoche,446,1. FC Union Berlin
997,Kevin Vogt,446,1. FC Union Berlin
1012,Janik Haberer,446,1. FC Union Berlin
1014,Rani Khedira,446,1. FC Union Berlin
1291,Alexander Schwolow,446,1. FC Union Berlin
1369,Milos Pantovic,446,1. FC Union Berlin
1613,Aïssa Laïdouni,446,1. FC Union Berlin
1708,Jérôme Roussillon,446,1. FC Union Berlin
2030,Lucas Tousart,446,1. FC Union Berlin
3425,András Schäfer,446,1. FC Union Berlin
3998,Yorbe Vertessen,446,1. FC Union Berlin
6175,Diogo Leite,446,1. FC Union Berlin
7376,Paul Jaeckel,446,1. FC Union Berlin
8522,Chris Bedia,446,1. FC Union Berlin
10517,Christopher Trimmel,446,1. FC Union Berlin
13176,Danilho Doekhi,446,1. FC Union Berlin
16806,Josip Juranovic,446,1. FC Union Berlin
21100,Alex Král,446,1. FC Union Berlin
21558,Robin Gosens,446,1. FC Union Berlin
21598,Sheraldo Becker,446,1. FC Union Berlin
23329,Kevin Behrens,446,1. FC Union Berlin
26762,Benedict Hollerbach,446,1. FC Union Berlin
32182,Mikkel Kaufmann,446,1. FC Union Berlin
42376,Brenden Aaronson,446,1. FC Union Berlin
45493,Jordan,446,1. FC Union Berlin
76896,David Datro Fofana,446,1. FC Union Berlin
107910,Aljoscha Kemlein,446,1. FC Union Berlin
