player_id,player,team_id,team
647,Silvan Widmer,42,1. FSV Mainz 05
822,Karim Onisiwo,42,1. FSV Mainz 05
943,Dominik Kohr,42,1. FSV Mainz 05
994,Josuha Guilavogui,42,1. FSV Mainz 05
1090,Stefan Bell,42,1. FSV Mainz 05
1110,Danny da Costa,42,1. FSV Mainz 05
1286,Nadiem Amiri,42,1. FSV Mainz 05
1376,Robin Zentner,42,1. FSV Mainz 05
2404,Jonathan Burkardt,42,1. FSV Mainz 05
3975,Anwar El Ghazi,42,1. FSV Mainz 05
4539,Maxim Leitsch,42,1. FSV Mainz 05
6721,Edimilson Fernandes,42,1. FSV Mainz 05
9536,Aymen Barkok,42,1. FSV Mainz 05
9544,Phillipp Mwene,42,1. FSV Mainz 05
16761,Jae-sung Lee,42,1. FSV Mainz 05
23062,Daniel Batz,42,1. FSV Mainz 05
23127,Marco Richter,42,1. FSV Mainz 05
27058,Tom Krauß,42,1. FSV Mainz 05
27388,Jessic Ngankam,42,1. FSV Mainz 05
28193,Merveille Papela,42,1. FSV Mainz 05
29174,Leandro Barreiro,42,1. FSV Mainz 05
29367,Andreas Hanche-Olsen,42,1. FSV Mainz 05
33309,Anthony Caci,42,1. FSV Mainz 05
45038,Sepp van den Berg,42,1. FSV Mainz 05
45045,Ludovic Ajorque,42,1. FSV Mainz 05
67486,Anton Stach,42,1. FSV Mainz 05
82595,Marcus Müller,42,1. FSV Mainz 05
104272,Brajan Gruda,42,1. FSV Mainz 05
104846,Nelson Weiper,42,1. FSV Mainz 05
165699,David Mamutovic,42,1. FSV Mainz 05
