player_id,player,team_id,team
205,Péter Gulácsi,37,RasenBallsport Leipzig
355,Emil Forsberg,37,RasenBallsport Leipzig
1017,Timo Werner,37,RasenBallsport Leipzig
1132,Yussuf Poulsen,37,RasenBallsport Leipzig
1174,Kevin Kampl,37,RasenBallsport Leipzig
1235,Willi Orbán,37,RasenBallsport Leipzig
1303,Benjamin Henrichs,37,RasenBallsport Leipzig
1346,Lukas Klostermann,37,RasenBallsport Leipzig
2735,Loïs Openda,37,RasenBallsport Leipzig
5658,Dani Olmo,37,RasenBallsport Leipzig
7873,Xaver Schlager,37,RasenBallsport Leipzig
10258,Christopher Lenz,37,RasenBallsport Leipzig
13493,Amadou Haidara,37,RasenBallsport Leipzig
13823,David Raum,37,RasenBallsport Leipzig
19670,Eljif Elmas,37,RasenBallsport Leipzig
23016,Janis Blaswich,37,RasenBallsport Leipzig
28715,Nicolas Seiwald,37,RasenBallsport Leipzig
29532,Christoph Baumgartner,37,RasenBallsport Leipzig
46932,Castello Lukeba,37,RasenBallsport Leipzig
49763,Mohamed Simakan,37,RasenBallsport Leipzig
52528,Benjamin Sesko,37,RasenBallsport Leipzig
52688,Xavi Simons,37,RasenBallsport Leipzig
69542,Fábio Carvalho,37,RasenBallsport Leipzig
103396,El Chadaille Bitshiabu,37,RasenBallsport Leipzig
174633,Jonathan Norbye,37,RasenBallsport Leipzig
