player_id,player,team_id,team
622,Matthias Ginter,34,SC Freiburg
862,Roland Sallai,34,SC Freiburg
930,Maximilian Philipp,34,SC Freiburg
968,Michael Gregoritsch,34,SC Freiburg
986,Lukas Kübler,34,SC Freiburg
1050,Nicolas Höfler,34,SC Freiburg
1135,Manuel Gulde,34,SC Freiburg
1268,Christian Günter,34,SC Freiburg
1294,Vincenzo Grifo,34,SC Freiburg
1320,Maximilian Eggestein,34,SC Freiburg
9604,Lucas Höler,34,SC Freiburg
15811,Ritsu Doan,34,SC Freiburg
23160,Florent Muslija,34,SC Freiburg
23350,Philipp Lienhart,34,SC Freiburg
27747,Yannik Keitel,34,SC Freiburg
28559,Junior Adamu,34,SC Freiburg
29624,Attila Szalai,34,SC Freiburg
49785,Noah Atubolu,34,SC Freiburg
56465,Maximilian Breunig,34,SC Freiburg
62650,Kiliann Sildillia,34,SC Freiburg
68933,Merlin Röhl,34,SC Freiburg
70440,Fabian Rüdlin,34,SC Freiburg
94847,Kenneth Schmidt,34,SC Freiburg
94848,Jordy Makengo,34,SC Freiburg
94862,Noah Weißhaupt,34,SC Freiburg
