player_id,player,team_id,team
1004,Genki Haraguchi,46,VfB Stuttgart
1023,Alexander Nübel,46,VfB Stuttgart
1056,Serhou Guirassy,46,VfB Stuttgart
1161,Mahmoud Dahoud,46,VfB Stuttgart
1171,Pascal Stenzel,46,VfB Stuttgart
1297,Maximilian Mittelstädt,46,VfB Stuttgart
1359,Waldemar Anton,46,VfB Stuttgart
5420,Borna Sosa,46,VfB Stuttgart
5774,Dan-Axel Zagadou,46,VfB Stuttgart
9861,Fabian Bredlow,46,VfB Stuttgart
22947,Atakan Karazor,46,VfB Stuttgart
27123,Angelo Stiller,46,VfB Stuttgart
27426,Josha Vagnoman,46,VfB Stuttgart
31448,Leonidas Stergiou,46,VfB Stuttgart
33056,Roberto Massimo,46,VfB Stuttgart
35172,Chris Führich,46,VfB Stuttgart
41429,Woo-yeong Jeong,46,VfB Stuttgart
44929,Deniz Undav,46,VfB Stuttgart
45518,Silas,46,VfB Stuttgart
46337,Enzo Millot,46,VfB Stuttgart
50078,Hiroki Ito,46,VfB Stuttgart
51629,Jamie Leweling,46,VfB Stuttgart
53526,Anthony Rouault,46,VfB Stuttgart
53560,Lilian Egloff,46,VfB Stuttgart
104926,Luca Raimund,46,VfB Stuttgart
104927,Samuele Di Benedetto,46,VfB Stuttgart
114859,Jovan Milosevic,46,VfB Stuttgart
