player_id,player,team_id,team
957,Yannick Gerhardt,30,VfL Wolfsburg
996,Koen Casteels,30,VfL Wolfsburg
1333,Maximilian Arnold,30,VfL Wolfsburg
3209,Lukas Nmecha,30,VfL Wolfsburg
3503,Jonas Wind,30,VfL Wolfsburg
4669,Ridle Baku,30,VfL Wolfsburg
6183,Rogério,30,VfL Wolfsburg
7369,Mattias Svanberg,30,VfL Wolfsburg
7755,Vaclav Cerny,30,VfL Wolfsburg
13276,Sebastiaan Bornauw,30,VfL Wolfsburg
13567,Joakim Maehle,30,VfL Wolfsburg
16789,Lovro Majer,30,VfL Wolfsburg
23329,Kevin Behrens,30,VfL Wolfsburg
27568,Maxence Lacroix,30,VfL Wolfsburg
29485,Cédric Zesiger,30,VfL Wolfsburg
30434,Pavao Pervan,30,VfL Wolfsburg
32706,Aster Vranckx,30,VfL Wolfsburg
33303,Nicolas Cozza,30,VfL Wolfsburg
38637,Moritz Jenz,30,VfL Wolfsburg
49887,Tiago Tomás,30,VfL Wolfsburg
53653,Patrick Wimmer,30,VfL Wolfsburg
56370,Jakub Kaminski,30,VfL Wolfsburg
57263,Kevin Paredes,30,VfL Wolfsburg
66450,Amin Sarr,30,VfL Wolfsburg
67359,Kilian Fischer,30,VfL Wolfsburg
104738,Dzenan Pejcinovic,30,VfL Wolfsburg
109442,Kofi Amoako,30,VfL Wolfsburg
109742,Bennit Bröger,30,VfL Wolfsburg
