player_id,player,team_id,team
460,Mario Götze,35,Eintracht Frankfurt
754,Kevin Trapp,35,Eintracht Frankfurt
944,Timothy Chandler,35,Eintracht Frankfurt
1029,Makoto Hasebe,35,Eintracht Frankfurt
1205,Sebastian Rode,35,Eintracht Frankfurt
1232,Philipp Max,35,Eintracht Frankfurt
1463,Jens Grahl,35,Eintracht Frankfurt
2027,Ellyes Skhiri,35,Eintracht Frankfurt
2586,Kristijan Jakic,35,Eintracht Frankfurt
7464,Donny van de Beek,35,Eintracht Frankfurt
8112,Aurélio Buta,35,Eintracht Frankfurt
10218,Robin Koch,35,Eintracht Frankfurt
10258,Christopher Lenz,35,Eintracht Frankfurt
15716,Randal Kolo Muani,35,Eintracht Frankfurt
27035,Junior Dina Ebimbe,35,Eintracht Frankfurt
27388,Jessic Ngankam,35,Eintracht Frankfurt
29541,Sasa Kalajdzic,35,Eintracht Frankfurt
31568,Jens Petter Hauge,35,Eintracht Frankfurt
48368,Jesper Lindstrøm,35,Eintracht Frankfurt
49447,Tuta,35,Eintracht Frankfurt
52319,Hrvoje Smolcic,35,Eintracht Frankfurt
52475,Ansgar Knauff,35,Eintracht Frankfurt
52945,Niels Nkounkou,35,Eintracht Frankfurt
57297,Willian Pacho,35,Eintracht Frankfurt
64021,Omar Marmoush,35,Eintracht Frankfurt
68020,Hugo Ekitiké,35,Eintracht Frankfurt
79234,Paxten Aaronson,35,Eintracht Frankfurt
104384,Nacho Ferri,35,Eintracht Frankfurt
104530,Marko Mladenovic,35,Eintracht Frankfurt
104788,Elias Baum,35,Eintracht Frankfurt
105759,Hugo Larsson,35,Eintracht Frankfurt
105928,Nnamdi Collins,35,Eintracht Frankfurt
112528,Farès Chaïbi,35,Eintracht Frankfurt
117428,Jean-Mattéo Bahoya,35,Eintracht Frankfurt
