player_id,player,team_id,team
226,Tomas Koubek,39,FC Augsburg
1047,Jeffrey Gouweleeuw,39,FC Augsburg
1344,Niklas Dorsch,39,FC Augsburg
2586,Kristijan Jakic,39,FC Augsburg
2776,Irvin Cardona,39,FC Augsburg
3989,Finn Dahmen,39,FC Augsburg
4255,Robert Gumny,39,FC Augsburg
8137,Mergim Berisha,39,FC Augsburg
8367,Elvis Rexhbecaj,39,FC Augsburg
9395,Kevin Mbabu,39,FC Augsburg
10035,Felix Uduokhai,39,FC Augsburg
10126,Sven Michel,39,FC Augsburg
10518,Phillip Tietz,39,FC Augsburg
13752,Mads Pedersen,39,FC Augsburg
15718,Arne Maier,39,FC Augsburg
21335,Fredrik Jensen,39,FC Augsburg
29372,Ermedin Demirovic,39,FC Augsburg
31458,Patric Pfeiffer,39,FC Augsburg
33537,Rubén Vargas,39,FC Augsburg
41166,Pep Biel,39,FC Augsburg
44193,Iago,39,FC Augsburg
45033,Maximilian Bauer,39,FC Augsburg
45771,Masaya Okugawa,39,FC Augsburg
49717,Nathanaël Mbuku,39,FC Augsburg
53127,Arne Engels,39,FC Augsburg
53763,Dion Beljo,39,FC Augsburg
68268,Tim Breithaupt,39,FC Augsburg
104300,Mahmut Kücüksahin,39,FC Augsburg
104743,Mert Kömür,39,FC Augsburg
