player_id,player,team_id,team
1153,Fabian Holland,36,SV Darmstadt 98
1275,Frank Ronstadt,36,SV Darmstadt 98
1306,Gerrit Holtmann,36,SV Darmstadt 98
1415,Tobias Kempe,36,SV Darmstadt 98
4044,Bartol Franjic,36,SV Darmstadt 98
4245,Thomas Isherwood,36,SV Darmstadt 98
4670,Christoph Klarer,36,SV Darmstadt 98
8355,Emir Karic,36,SV Darmstadt 98
9630,Fabian Schnellhardt,36,SV Darmstadt 98
9702,Marcel Schuhen,36,SV Darmstadt 98
9820,Tim Skarke,36,SV Darmstadt 98
10430,Marvin Mehlem,36,SV Darmstadt 98
10431,Matthias Bader,36,SV Darmstadt 98
10528,Klaus Gjasula,36,SV Darmstadt 98
10619,Jannik Müller,36,SV Darmstadt 98
12698,Filip Stojilkovic,36,SV Darmstadt 98
13834,Aaron Seydel,36,SV Darmstadt 98
15580,Sebastian Polter,36,SV Darmstadt 98
23385,Alexander Brunst,36,SV Darmstadt 98
26464,Christoph Zimmermann,36,SV Darmstadt 98
29304,Mathias Honsak,36,SV Darmstadt 98
38249,Fraser Hornby,36,SV Darmstadt 98
44986,Braydon Manu,36,SV Darmstadt 98
49828,Luca Pfeiffer,36,SV Darmstadt 98
51600,Fabian Nürnberger,36,SV Darmstadt 98
64020,Julian Justvan,36,SV Darmstadt 98
66446,Oscar Vilhelmsson,36,SV Darmstadt 98
67536,Andreas Müller,36,SV Darmstadt 98
103125,Clemens Riedel,36,SV Darmstadt 98
104512,Fabio Torsiello,36,SV Darmstadt 98
104869,Asaf Arania,36,SV Darmstadt 98
106970,Matej Maglica,36,SV Darmstadt 98
