player_id,player,team_id,team
1028,Mitchell Weiser,38,SV Werder Bremen
1049,Milos Veljkovic,38,SV Werder Bremen
1099,Leonardo Bittencourt,38,SV Werder Bremen
1120,Anthony Jung,38,SV Werder Bremen
1159,Michael Zetterer,38,SV Werder Bremen
1283,Niklas Stark,38,SV Werder Bremen
1307,Naby Keïta,38,SV Werder Bremen
3153,Romano Schmid,38,SV Werder Bremen
3772,Marco Friedl,38,SV Werder Bremen
4366,Dawid Kownacki,38,SV Werder Bremen
5097,Oliver Burke,38,SV Werder Bremen
6201,Amos Pieper,38,SV Werder Bremen
6469,Senne Lynen,38,SV Werder Bremen
7154,Rafael Borré,38,SV Werder Bremen
8451,Jiri Pavlenka,38,SV Werder Bremen
9550,Niclas Füllkrug,38,SV Werder Bremen
9762,Nicolai Rapp,38,SV Werder Bremen
9770,Marvin Ducksch,38,SV Werder Bremen
13599,Jens Stage,38,SV Werder Bremen
23157,Christian Groß,38,SV Werder Bremen
31010,Ilia Gruev,38,SV Werder Bremen
47122,Olivier Deman,38,SV Werder Bremen
49804,Nick Woltemade,38,SV Werder Bremen
49835,Felix Agu,38,SV Werder Bremen
63362,Isak Hansen-Aarøen,38,SV Werder Bremen
68285,Julián Malatini,38,SV Werder Bremen
108086,Joel Imasuen,38,SV Werder Bremen
109588,Leon Opitz,38,SV Werder Bremen
109888,Justin Njinmah,38,SV Werder Bremen
117429,Skelly Alvero,38,SV Werder Bremen
