player_id,player,team_id,team
817,Matus Bero,416,VfL Bochum
1077,Felix Passlack,416,VfL Bochum
1208,Andreas Luthe,416,VfL Bochum
1347,Simon Zoller,416,VfL Bochum
1477,Danilo Soares,416,VfL Bochum
1481,Kevin Stöger,416,VfL Bochum
4992,Ivan Ordets,416,VfL Bochum
5559,Cristian Gamboa,416,VfL Bochum
6636,Bernardo,416,VfL Bochum
9352,Gonçalo Paciência,416,VfL Bochum
9586,Manuel Riemann,416,VfL Bochum
9723,Anthony Losilla,416,VfL Bochum
9867,Takuma Asano,416,VfL Bochum
9915,Maximilian Wittek,416,VfL Bochum
13136,Erhan Masovic,416,VfL Bochum
15621,Philipp Förster,416,VfL Bochum
22952,Lukas Daschner,416,VfL Bochum
22967,Philipp Hofmann,416,VfL Bochum
23032,Christopher Antwi-Adjei,416,VfL Bochum
26805,Patrick Osterhage,416,VfL Bochum
31336,Noah Loosli,416,VfL Bochum
48386,Keven Schlotterbeck,416,VfL Bochum
49833,Moritz Broschinski,416,VfL Bochum
56431,Moritz-Broni Kwarteng,416,VfL Bochum
117827,Tim Oermann,416,VfL Bochum
